Symbol,Exchange,Underlying,Leverage,Currency,ISIN,Name,Date,Open,High,Low,Close,Volume,Turnover,NAV,FX_Pair,FX_Rate,Open_KRW,High_KRW,Low_KRW,Close_KRW,NAV_KRW
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-12,22955.0,23135.0,20140.0,20140.0,756850,16939902397.0,20126.27,-,1.0,22955.0,23135.0,20140.0,20140.0,20126.27
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-15,22575.0,23595.0,22510.0,22780.0,371092,8572406490.0,22795.59,-,1.0,22575.0,23595.0,22510.0,22780.0,22795.59
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-16,24530.0,25065.0,22890.0,24750.0,711298,17341835646.0,24823.68,-,1.0,24530.0,25065.0,22890.0,24750.0,24823.68
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-17,23940.0,27720.0,23845.0,27565.0,649694,16956972199.0,27828.25,-,1.0,23940.0,27720.0,23845.0,27565.0,27828.25
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-18,28445.0,32510.0,28405.0,31220.0,1459539,45040143331.0,31291.34,-,1.0,28445.0,32510.0,28405.0,31220.0,31291.34
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-19,34620.0,36040.0,31220.0,33000.0,1278580,42995071027.0,33022.94,-,1.0,34620.0,36040.0,31220.0,33000.0,33022.94
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-22,32210.0,37405.0,32210.0,36940.0,1433299,51508872596.0,36825.15,-,1.0,32210.0,37405.0,32210.0,36940.0,36825.15
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-23,36655.0,37500.0,27000.0,27640.0,1390543,45096554829.0,27538.24,-,1.0,36655.0,37500.0,27000.0,27640.0,27538.24
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-24,28830.0,30720.0,25500.0,28245.0,1287316,36562581962.0,28246.25,-,1.0,28830.0,30720.0,25500.0,28245.0,28246.25
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-25,34440.0,37380.0,31895.0,35325.0,1620004,56715708665.0,35349.0,-,1.0,34440.0,37380.0,31895.0,35325.0,35349.0
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-26,33880.0,34620.0,27620.0,29130.0,1306471,40032704023.0,29388.22,-,1.0,33880.0,34620.0,27620.0,29130.0,29388.22
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-29,28675.0,29580.0,25940.0,28190.0,1620342,44396394167.0,28243.75,-,1.0,28675.0,29580.0,25940.0,28190.0,28243.75
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-06-30,28230.0,30915.0,26550.0,28895.0,644146,18579434419.0,28974.07,-,1.0,28230.0,30915.0,26550.0,28895.0,28974.07
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-07-01,29350.0,30500.0,25600.0,26995.0,620719,17139185413.0,26819.12,-,1.0,29350.0,30500.0,25600.0,26995.0,26819.12
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-07-02,22570.0,24540.0,18225.0,18225.0,1664930,36954907997.0,18855.87,-,1.0,22570.0,24540.0,18225.0,18225.0,18855.87
0192L0.KS,KRX,SK Hynix,2x,KRW,KR70192L0007,RISE SK하이닉스단일종목레버리지,2026-07-03,19025.0,23605.0,16500.0,23210.0,1196052,24893121125.0,22967.27,-,1.0,19025.0,23605.0,16500.0,23210.0,22967.27
0192M0.KS,KRX,Samsung Electronics,2x,KRW,KR70192M0006,RISE 삼성전자단일종목레버리지,2026-05-27,23205.0,23285.0,21010.0,21165.0,1324469,29725793755.0,21416.13,-,1.0,23205.0,23285.0,21010.0,21165.0,21416.13
0192M0.KS,KRX,Samsung Electronics,2x,KRW,KR70192M0006,RISE 삼성전자단일종목레버리지,2026-05-28,20790.0,21070.0,18460.0,20035.0,4871531,97960514769.0,19928.51,-,1.0,20790.0,21070.0,18460.0,20035.0,19928.51
0192M0.KS,KRX,Samsung Electronics,2x,KRW,KR70192M0006,RISE 삼성전자단일종목레버리지,2026-05-29,21485.0,22840.0,21040.0,22670.0,1981701,43689894851.0,22553.38,-,1.0,21485.0,22840.0,21040.0,22670.0,22553.38
0192M0.KS,KRX,Samsung Electronics,2x,KRW,KR70192M0006,RISE 삼성전자단일종목레버리지,2026-06-01,22900.0,27940.0,22850.0,27425.0,1184723,30629257694.0,27692.41,-,1.0,22900.0,27940.0,22850.0,27425.0,27692.41
0192M0.KS,KRX,Samsung Electronics,2x,KRW,KR70192M0006,RISE 삼성전자단일종목레버리지,2026-06-02,29090.0,30460.0,26400.0,29085.0,1769728,49960648879.0,28475.81,-,1.0,29090.0,30460.0,26400.0,29085.0,28475.81
0192M0.KS,KRX,Samsung Electronics,2x,KRW,KR70192M0006,RISE 삼성전자단일종목레버리지,2026-06-04,27000.0,29695.0,26860.0,27370.0,1009756,28661555270.0,27029.29,-,1.0,27000.0,29695.0,26860.0,27370.0,27029.29
