Symbol,Currency,Name,ISIN,Date,Open,High,Low,Close,Volume,Turnover
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-05-28,18.68,18.68,18.6,18.54,200,3727
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-05-29,18.54,18.54,18.34,18.34,305,5624
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-05-30,18.06,18.08,17.92,18.36,260,4696
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-02,18.06,18.06,18.06,18.06,250,4515
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-04,17.32,17.32,17.32,17.32,5,86
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-05,16.16,16.66,16.1,16.48,675,10891
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-09,15.88,15.88,15.76,16.04,150,2374
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-10,16.36,16.48,16.36,16.48,15,246
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-11,16.2,16.26,15.96,15.96,530,8582
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-13,16.94,17.1,16.94,16.98,70,1189
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-16,17.54,17.54,17.46,17.46,55,960
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-17,16.54,16.94,16.54,16.98,40,663
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-18,16.2,16.2,16.06,16.06,55,884
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-20,16.1,16.1,16.1,16.1,50,805
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-23,16.92,16.94,16.72,16.68,55,929
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-24,15.78,15.78,15.54,15.52,115,1794
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-25,15.38,15.38,15.38,15.14,5,76
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-06-26,15.56,15.56,15.56,15.56,15,233
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-02,15.44,15.44,15.32,15.16,1120,17172
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-03,14.48,14.48,13.68,13.68,2635,36731
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-04,13.84,13.84,13.84,13.84,5,69
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-08,14.5,14.54,14.5,14.54,2505,36422
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-10,14.62,14.62,14.62,14.62,250,3655
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-14,14.42,14.44,14.42,14.22,10,144
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-15,13.92,13.92,13.5,13.5,55,753
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-16,13.22,13.22,13.22,13.22,5,66
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-17,12.8,12.8,12.4,12.4,25,317
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-18,12.42,12.42,12.2,12.2,50,615
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-21,11.98,11.98,11.98,11.98,5,59
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-23,12.68,12.68,12.68,12.62,50,634
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-25,12.62,12.62,12.62,12.62,20,252
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-28,11.84,11.84,11.06,11.06,15,173
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-29,10.86,10.86,10.86,10.86,5,54
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-30,9.8,9.96,9.8,10.14,55,539
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-07-31,10.38,10.38,10.38,10.46,10,103
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-08-05,10.92,10.92,10.92,10.92,5,54
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-08-08,10.44,10.46,10.44,10.46,25,261
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-08-19,10.76,10.76,10.76,10.76,10,107
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-09-10,10.0,10.0,10.0,9.98,50,500
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-09-11,9.92,9.92,9.8,9.76,10,98
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-09-12,9.3,9.3,9.26,9.24,20,185
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-09-15,8.98,8.98,8.98,8.98,1600,14368
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-09-16,8.72,8.72,8.58,8.36,55,472
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-09-19,8.22,8.22,8.1,8.12,10,81
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-09-22,7.38,7.38,7.38,7.38,10,73
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-09-24,7.22,7.22,7.22,7.16,5,36
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-09-26,7.38,7.46,7.38,7.44,185,1375
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-02,6.16,6.3,6.1,6.3,120,745
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-06,6.16,6.16,6.16,6.16,26000,160160
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-08,6.1,6.12,6.1,6.1,55,335
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-09,6.04,6.04,6.04,5.64,6500,39260
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-10,5.66,5.66,5.58,5.56,170,950
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-13,5.82,5.92,5.66,5.66,1760,10272
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-14,5.66,5.88,5.64,5.88,1810,10604
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-17,5.14,5.28,5.14,5.26,2795,14631
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-20,5.16,5.2,5.16,5.16,2765,14278
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-21,4.96,5.18,4.96,5.18,3480,17701
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-22,5.26,5.28,5.22,5.1,1035,5423
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-23,5.22,5.22,5.22,5.22,5,26
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-28,4.86,4.94,4.86,4.88,200,979
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-10-30,4.36,4.36,4.36,4.42,30,130
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-03,4.04,4.04,3.84,3.84,160,620
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-04,4.28,4.34,4.28,4.34,175,752
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-05,4.86,4.86,4.64,4.7,110,525
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-06,4.76,4.76,4.72,4.72,160,759
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-07,4.94,4.94,4.94,4.94,5,24
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-10,4.76,4.76,4.66,4.66,135,634
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-12,4.4,4.4,4.4,4.38,5,22
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-13,4.42,4.42,4.42,4.42,5,22
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-14,4.76,4.98,4.76,4.98,15,73
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-17,4.58,4.58,4.58,4.56,1995,9137
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-18,4.74,4.76,4.74,4.82,1105,5257
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-19,4.96,5.0,4.88,4.98,2035,10057
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-20,4.48,4.48,4.34,4.5,1180,5264
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-21,4.96,5.1,4.96,5.04,3300,16560
9347.HK,USD,CSOP Samsung Electronics Daily (-2x) Inverse Product,HK0001121364,2025-11-24,4.64,4.68,4.64,4.82,3375,15662
