Symbol,Currency,Name,ISIN,Date,Open,High,Low,Close,Volume,Turnover
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-16,8.42,9.66,8.42,9.155,1651400,15153118
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-17,10.17,10.77,9.275,9.5,4905800,48135677
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-20,10.28,11.0,9.955,11.0,3766800,38792978
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-21,11.6,13.0,9.96,10.19,11733100,130046608
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-22,9.73,10.18,9.505,10.02,4209300,41258177
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-23,10.02,10.32,9.83,9.995,2370200,23814447
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-24,11.28,11.63,10.8,11.4,8341200,93506296
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-27,12.36,12.96,12.0,12.93,22244900,275450627
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-28,11.9,11.94,11.21,11.83,21558900,251445215
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-30,13.6,14.28,13.11,13.94,20252100,278265391
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-10-31,13.64,13.8,13.23,13.36,12618700,170614059
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-03,15.1,16.95,14.88,16.77,25210997,401306352
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-04,15.38,15.84,14.34,14.81,41408000,617661856
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-05,12.59,14.45,11.77,13.9,75195000,979519870
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-06,14.53,15.4,14.45,14.62,34022922,504250275
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-07,14.4,14.42,13.49,14.08,27446800,386021918
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-10,15.21,15.84,15.12,15.68,35692000,553883084
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-11,16.8,17.06,15.2,15.97,42691100,691850800
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-12,15.62,16.11,15.18,16.01,18081100,284063107
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-13,16.12,16.22,15.0,15.19,29183600,452051315
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-14,13.46,13.77,12.6,12.9,43080196,572131679
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-17,14.31,14.99,14.1,14.81,32551000,471443065
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-18,13.77,13.83,12.93,13.18,32368700,432387239
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-19,12.66,13.16,12.38,13.14,30925100,395622573
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-20,13.55,13.88,13.01,13.05,30496400,412875802
7709.HK,HKD,CSOP SK Hynix Daily (2x) Leveraged Product,HK0001205258,2025-11-21,11.1,11.18,10.53,10.57,54892277,598468483
