Symbol,ISIN,Name,Currency,Date,Open,High,Low,Close,Volume,Turnover,NAV,NetAssets,IndexName,IndexClose
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-05-27,25000,25995,22900,23750,2418429,59121389756,23699.62,62803981737,KRX SK하이닉스 지수,13101.64
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-05-28,22690,25075,21725,24745,5420674,126826407689,24806.18,65736372143,KRX SK하이닉스 지수,13370.33
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-05-29,26230,26705,24710,25330,1780821,45748001098,25680.62,69337686503,KRX SK하이닉스 지수,13627.34
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-01,25050,27120,24795,26445,1068150,27841478159,26102.62,75697602872,KRX SK하이닉스 지수,13802.57
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-02,26445,27310,23955,26020,1200134,30584226894,25831.46,77494391212,KRX SK하이닉스 지수,13785.05
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-04,24195,25355,24000,24805,955993,23756991474,24551.94,73655821469,KRX SK하이닉스 지수,13422.9
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-05,21325,22420,19900,19900,1292970,26874867856,18922.96,57715029356,KRX SK하이닉스 지수,12091.12
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-08,16000,19890,16000,16695,1287158,23302579723,16370.71,51567740139,KRX SK하이닉스 지수,11162.38
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-09,19105,21785,18095,21675,1086822,21495827778,21630.63,71381078179,KRX SK하이닉스 지수,12938.08
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-10,19845,20870,17125,18240,804234,15441476366,18405.9,62119908573,KRX SK하이닉스 지수,11962.62
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-11,17095,20200,16625,19225,1009052,18845400640,19229.93,64901019304,KRX SK하이닉스 지수,12272.2
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-12,22600,22865,20045,20045,820988,18106875098,19875.71,67080535675,KRX SK하이닉스 지수,12558.41
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-15,22500,23380,22245,22500,538300,12277045852,22588.48,76800823494,KRX SK하이닉스 지수,13364.49
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-16,24400,24900,22650,24445,600792,14435175014,24613.98,82456840501,KRX SK하이닉스 지수,13913.55
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-17,23795,27495,23765,27380,581370,14993542984,27616.18,92514210181,KRX SK하이닉스 지수,14725.47
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-18,28095,32270,28035,30845,1038768,31333552323,31135.14,104302732343,KRX SK하이닉스 지수,15683.41
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-19,34390,36500,31000,32845,1452068,48425863927,32881.19,107685895230,KRX SK하이닉스 지수,16144.86
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-22,31905,37275,31905,36975,1505274,53369985632,36646.22,120016354896,KRX SK하이닉스 지수,17050.23
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-23,36755,37300,26895,27455,2132770,68892104556,27299.54,89405986481,KRX SK하이닉스 지수,14924.07
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-24,28165,30500,25225,28905,1696551,47969030761,28032.25,94608833218,KRX SK하이닉스 지수,15070.09
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-25,33915,37050,31605,35060,1759491,60156094836,35195.91,124945492357,KRX SK하이닉스 지수,17038.55
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-26,33600,34320,27400,29095,2320205,69710737180,29248.97,106758751036,KRX SK하이닉스 지수,15613.32
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-29,28540,29505,25730,28100,1222881,33548639340,28063.82,96820164214,KRX SK하이닉스 지수,15350.47
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-06-30,28035,30780,26335,28650,1294290,37160145272,28742.02,107064026805,KRX SK하이닉스 지수,15478.97
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-07-01,29045,30290,25370,26645,1202949,32829825964,26622.41,102496283850,KRX SK하이닉스 지수,14953.27
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-07-02,22580,24345,18575,18575,2356370,51775700538,18657.89,71832874021,KRX SK하이닉스 지수,12774.53
0197W0.KS,KR70197W0009,SOL SK하이닉스단일종목레버리지,KRW,2026-07-03,19185,23360,16315,22945,3531043,71460775526,22743.93,0,KRX SK하이닉스 지수,14164.72
