Date,국가명,ISIN,종목명,보관잔고금액,종목구분
2025-12-23,홍콩,HK0001205258,XL2CSOPHYNIX,33204982,SK하이닉스 2x (7709)
2025-12-23,홍콩,HK0001121349,XL2CSOPSMSN,16408476,삼성 2x (7747/9747)
2025-12-24,홍콩,HK0001205258,XL2CSOPHYNIX,34182489,SK하이닉스 2x (7709)
2025-12-24,홍콩,HK0001121349,XL2CSOPSMSN,16369044,삼성 2x (7747/9747)
2025-12-25,홍콩,HK0001205258,XL2CSOPHYNIX,34182489,SK하이닉스 2x (7709)
2025-12-25,홍콩,HK0001121349,XL2CSOPSMSN,16369044,삼성 2x (7747/9747)
2025-12-26,홍콩,HK0001205258,XL2CSOPHYNIX,34190049,SK하이닉스 2x (7709)
2025-12-26,홍콩,HK0001121349,XL2CSOPSMSN,16372664,삼성 2x (7747/9747)
2025-12-29,홍콩,HK0001205258,XL2CSOPHYNIX,39366671,SK하이닉스 2x (7709)
2025-12-29,홍콩,HK0001121349,XL2CSOPSMSN,19263412,삼성 2x (7747/9747)
2025-12-30,홍콩,HK0001205258,XL2CSOPHYNIX,42824111,SK하이닉스 2x (7709)
2025-12-30,홍콩,HK0001121349,XL2CSOPSMSN,19569291,삼성 2x (7747/9747)
2025-12-31,홍콩,HK0001205258,XL2CSOPHYNIX,42782666,SK하이닉스 2x (7709)
2025-12-31,홍콩,HK0001121349,XL2CSOPSMSN,19550352,삼성 2x (7747/9747)
2026-01-01,홍콩,HK0001205258,XL2CSOPHYNIX,42388961,SK하이닉스 2x (7709)
2026-01-01,홍콩,HK0001121349,XL2CSOPSMSN,19585431,삼성 2x (7747/9747)
2026-01-02,홍콩,HK0001205258,XL2CSOPHYNIX,45480313,SK하이닉스 2x (7709)
2026-01-02,홍콩,HK0001121349,XL2CSOPSMSN,22499617,삼성 2x (7747/9747)
2026-01-05,홍콩,HK0001205258,XL2CSOPHYNIX,48024362,SK하이닉스 2x (7709)
2026-01-05,홍콩,HK0001121349,XL2CSOPSMSN,26102205,삼성 2x (7747/9747)
2026-01-06,홍콩,HK0001205258,XL2CSOPHYNIX,48811432,SK하이닉스 2x (7709)
2026-01-06,홍콩,HK0001121349,XL2CSOPSMSN,28662774,삼성 2x (7747/9747)
2026-01-07,홍콩,HK0001205258,XL2CSOPHYNIX,51498316,SK하이닉스 2x (7709)
2026-01-07,홍콩,HK0001121349,XL2CSOPSMSN,29707285,삼성 2x (7747/9747)
2026-01-08,홍콩,HK0001205258,XL2CSOPHYNIX,52583407,SK하이닉스 2x (7709)
2026-01-08,홍콩,HK0001121349,XL2CSOPSMSN,28805732,삼성 2x (7747/9747)
2026-01-09,홍콩,HK0001205258,XL2CSOPHYNIX,50295977,SK하이닉스 2x (7709)
2026-01-09,홍콩,HK0001121349,XL2CSOPSMSN,28427701,삼성 2x (7747/9747)
2026-01-12,홍콩,HK0001205258,XL2CSOPHYNIX,50792211,SK하이닉스 2x (7709)
2026-01-12,홍콩,HK0001121349,XL2CSOPSMSN,28483953,삼성 2x (7747/9747)
2026-01-13,홍콩,HK0001205258,XL2CSOPHYNIX,49821504,SK하이닉스 2x (7709)
2026-01-13,홍콩,HK0001121349,XL2CSOPSMSN,28337854,삼성 2x (7747/9747)
2026-01-14,홍콩,HK0001205258,XL2CSOPHYNIX,49641351,SK하이닉스 2x (7709)
2026-01-14,홍콩,HK0001121349,XL2CSOPSMSN,29921764,삼성 2x (7747/9747)
2026-01-15,홍콩,HK0001205258,XL2CSOPHYNIX,52101067,SK하이닉스 2x (7709)
2026-01-15,홍콩,HK0001121349,XL2CSOPSMSN,31698678,삼성 2x (7747/9747)
2026-01-16,홍콩,HK0001205258,XL2CSOPHYNIX,53057365,SK하이닉스 2x (7709)
2026-01-16,홍콩,HK0001121349,XL2CSOPSMSN,34940299,삼성 2x (7747/9747)
2026-01-19,홍콩,HK0001205258,XL2CSOPHYNIX,53287497,SK하이닉스 2x (7709)
2026-01-19,홍콩,HK0001121349,XL2CSOPSMSN,34476708,삼성 2x (7747/9747)
2026-01-20,홍콩,HK0001205258,XL2CSOPHYNIX,51077331,SK하이닉스 2x (7709)
2026-01-20,홍콩,HK0001121349,XL2CSOPSMSN,32860944,삼성 2x (7747/9747)
2026-01-21,홍콩,HK0001205258,XL2CSOPHYNIX,51496392,SK하이닉스 2x (7709)
2026-01-21,홍콩,HK0001121349,XL2CSOPSMSN,35404881,삼성 2x (7747/9747)
2026-01-22,홍콩,HK0001205258,XL2CSOPHYNIX,53197973,SK하이닉스 2x (7709)
2026-01-22,홍콩,HK0001121349,XL2CSOPSMSN,38026780,삼성 2x (7747/9747)
2026-01-23,홍콩,HK0001205258,XL2CSOPHYNIX,53538913,SK하이닉스 2x (7709)
2026-01-23,홍콩,HK0001121349,XL2CSOPSMSN,37763345,삼성 2x (7747/9747)
2026-01-26,홍콩,HK0001205258,XL2CSOPHYNIX,51063777,SK하이닉스 2x (7709)
2026-01-26,홍콩,HK0001121349,XL2CSOPSMSN,38417116,삼성 2x (7747/9747)
2026-01-27,홍콩,HK0001205258,XL2CSOPHYNIX,58340801,SK하이닉스 2x (7709)
2026-01-27,홍콩,HK0001121349,XL2CSOPSMSN,42268183,삼성 2x (7747/9747)
2026-01-28,홍콩,HK0001205258,XL2CSOPHYNIX,71501860,SK하이닉스 2x (7709)
2026-01-28,홍콩,HK0001121349,XL2CSOPSMSN,45725618,삼성 2x (7747/9747)
2026-01-29,홍콩,HK0001205258,XL2CSOPHYNIX,69112301,SK하이닉스 2x (7709)
2026-01-29,홍콩,HK0001121349,XL2CSOPSMSN,43252955,삼성 2x (7747/9747)
2026-01-30,홍콩,HK0001205258,XL2CSOPHYNIX,73398223,SK하이닉스 2x (7709)
