Date,국가명,ISIN,종목명,매수대금,매도대금,매수매도대금,순매수대금,종목구분
2025-08-13,홍콩,HK0001121349,XL2CSOPSMSN,116146,39038,155184,77108,삼성 2x (7747/9747)
2025-08-14,홍콩,HK0001121349,XL2CSOPSMSN,140675,116445,257120,24231,삼성 2x (7747/9747)
2025-08-22,홍콩,HK0001121349,XL2CSOPSMSN,56284,53995,110278,2289,삼성 2x (7747/9747)
2025-09-12,홍콩,HK0001121349,XL2CSOPSMSN,41364,210037,251401,-168674,삼성 2x (7747/9747)
2025-09-15,홍콩,HK0001121349,XL2CSOPSMSN,540496,609739,1150235,-69243,삼성 2x (7747/9747)
2025-09-16,홍콩,HK0001121349,XL2CSOPSMSN,300709,83553,384262,217157,삼성 2x (7747/9747)
2025-09-17,홍콩,HK0001121349,XL2CSOPSMSN,235672,25544,261216,210129,삼성 2x (7747/9747)
2025-09-19,홍콩,HK0001121349,XL2CSOPSMSN,49012,470823,519835,-421811,삼성 2x (7747/9747)
2025-09-22,홍콩,HK0001121349,XL2CSOPSMSN,441506,12431,453936,429075,삼성 2x (7747/9747)
2025-09-24,홍콩,HK0001121349,XL2CSOPSMSN,55475,396116,451591,-340641,삼성 2x (7747/9747)
2025-09-25,홍콩,HK0001121349,XL2CSOPSMSN,37753,115069,152822,-77316,삼성 2x (7747/9747)
2025-09-26,홍콩,HK0001121349,XL2CSOPSMSN,80360,320182,400543,-239822,삼성 2x (7747/9747)
2025-09-30,홍콩,HK0001121349,XL2CSOPSMSN,108788,575594,684382,-466806,삼성 2x (7747/9747)
2025-10-02,홍콩,HK0001121349,XL2CSOPSMSN,439352,22662,462013,416690,삼성 2x (7747/9747)
2025-10-03,홍콩,HK0001121349,XL2CSOPSMSN,39114,85529,124644,-46415,삼성 2x (7747/9747)
2025-10-08,홍콩,HK0001121349,XL2CSOPSMSN,23559,10086,33645,13474,삼성 2x (7747/9747)
2025-10-09,홍콩,HK0001121349,XL2CSOPSMSN,38005,0,38005,38005,삼성 2x (7747/9747)
2025-10-10,홍콩,HK0001121349,XL2CSOPSMSN,132325,5276,137602,127049,삼성 2x (7747/9747)
2025-10-13,홍콩,HK0001121349,XL2CSOPSMSN,326502,10895,337397,315608,삼성 2x (7747/9747)
2025-10-14,홍콩,HK0001121349,XL2CSOPSMSN,218715,496692,715407,-277977,삼성 2x (7747/9747)
2025-10-15,홍콩,HK0001121349,XL2CSOPSMSN,330881,109081,439961,221800,삼성 2x (7747/9747)
2025-10-16,홍콩,HK0001121349,XL2CSOPSMSN,67656,343817,411473,-276160,삼성 2x (7747/9747)
2025-10-17,홍콩,HK0001121349,XL2CSOPSMSN,179544,73278,252822,106265,삼성 2x (7747/9747)
2025-10-20,홍콩,HK0001205258,XL2CSOPHYNIX,185384,17487,202871,167897,SK하이닉스 2x (7709)
