Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2024-08-30,19:50:29,MTNB,"""Matinas BioPharma Holdings, Inc.""",NYSE American,Corporate Action,,
2024-08-30,19:50:29,MTNB,"""Matinas BioPharma Holdings, Inc.""",NYSE American,Corporate Action,2024-09-03,09:05:00
2024-08-30,19:50:00,ABIO,"""ARCA biopharma, Inc.""",Nasdaq,News pending,,
2024-08-30,15:16:20,IFIN U,"""InFinT Acquisition Corporation Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant""",NYSE,LULD pause,2024-08-30,15:22:09
2024-08-30,15:07:07,IFIN U,"""InFinT Acquisition Corporation Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant""",NYSE,LULD pause,2024-08-30,15:12:07
2024-08-30,14:59:25,IFIN U,"""InFinT Acquisition Corporation Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant""",NYSE,LULD pause,2024-08-30,15:06:37
2024-08-30,14:44:24,IFIN U,"""InFinT Acquisition Corporation Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant""",NYSE,LULD pause,2024-08-30,14:49:24
2024-08-30,14:39:02,IFIN U,"""InFinT Acquisition Corporation Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant""",NYSE,LULD pause,2024-08-30,14:44:02
2024-08-30,14:33:26,IFIN U,"""InFinT Acquisition Corporation Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant""",NYSE,LULD pause,2024-08-30,14:38:26
2024-08-30,14:26:59,IFIN,InFinT Acquisition Corporation,NYSE,LULD pause,2024-08-30,14:32:03
2024-08-30,14:09:40,JBDI,JBDI Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-08-30,14:14:40
2024-08-30,13:35:39,BNRG,Brenmiller Energy Ltd Ordinary Shares,Nasdaq,LULD pause,2024-08-30,13:40:39
2024-08-30,13:10:10,IFIN U,"""InFinT Acquisition Corporation Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant""",NYSE,LULD pause,2024-08-30,13:15:10
2024-08-30,13:07:41,JBDI,JBDI Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-08-30,13:12:41
2024-08-30,12:58:15,ZBAO,Zhibao Technology Inc. Class A Ordinary Shares,Nasdaq,LULD pause,2024-08-30,13:03:15
2024-08-30,12:55:46,JBDI,JBDI Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-08-30,13:05:46
2024-08-30,12:37:33,BNRG,Brenmiller Energy Ltd Ordinary Shares,Nasdaq,LULD pause,2024-08-30,12:42:33
2024-08-30,11:53:54,BNRG,Brenmiller Energy Ltd Ordinary Shares,Nasdaq,LULD pause,2024-08-30,11:58:54
2024-08-30,11:38:00,BNRG,Brenmiller Energy Ltd Ordinary Shares,Nasdaq,LULD pause,2024-08-30,11:43:00
2024-08-30,11:37:56,IFIN U,"""InFinT Acquisition Corporation Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant""",NYSE,LULD pause,2024-08-30,11:44:47
2024-08-30,11:15:47,BNRG,Brenmiller Energy Ltd Ordinary Shares,Nasdaq,LULD pause,2024-08-30,11:20:47
