Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2025-04-30,19:50:00,VCSA,"""Vacasa, Inc. Class A Common Stock""",Nasdaq,News pending,,
2025-04-30,19:50:00,PTPI,"""Petros Pharmaceuticals, Inc. Common Stock""",Nasdaq,News pending,2025-05-01,09:00:00
2025-04-30,19:50:00,PTPI,"""Petros Pharmaceuticals, Inc. Common Stock""",Nasdaq,News pending,,
2025-04-30,16:05:00,PAVMZ,PAVmed Inc. Series Z Warrant,Nasdaq,News pending,,
2025-04-30,15:58:04,BCDA,"""BioCardia, Inc. Common Stock""",Nasdaq,LULD pause,2025-04-30,16:00:00
2025-04-30,15:52:31,OPINL,Office Properties Income Trust 6.375% Senior Notes due 2050,Nasdaq,LULD pause,2025-04-30,16:00:00
2025-04-30,12:42:29,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2025-04-30,12:47:29
2025-04-30,12:32:26,COEP,Coeptis Therapeutics Holdings Inc. Common Stock,Nasdaq,LULD pause,2025-04-30,12:37:26
2025-04-30,11:57:10,WEED,Roundhill Cannabis ETF,Cboe BZX,LULD pause,2025-04-30,12:02:10
2025-04-30,11:26:03,RGC,Regencell Bioscience Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-30,11:31:03
2025-04-30,11:22:44,YB,Yuanbao Inc. American Depositary Shares,Nasdaq,LULD pause,2025-04-30,11:27:44
2025-04-30,11:17:14,RGC,Regencell Bioscience Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-30,11:22:14
2025-04-30,11:09:55,MWYN,"""Marwynn Holdings, Inc. Common stock""",Nasdaq,LULD pause,2025-04-30,11:14:55
2025-04-30,11:08:11,YB,Yuanbao Inc. American Depositary Shares,Nasdaq,LULD pause,2025-04-30,11:13:11
2025-04-30,11:01:01,YB,Yuanbao Inc. American Depositary Shares,Nasdaq,LULD pause,2025-04-30,11:06:01
2025-04-30,10:51:47,RGC,Regencell Bioscience Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-30,10:56:47
2025-04-30,10:11:43,SAGT,SAGTEC GLOBAL LIMITED Ordinary shares,Nasdaq,LULD pause,2025-04-30,10:21:43
2025-04-30,10:02:36,SAGT,SAGTEC GLOBAL LIMITED Ordinary shares,Nasdaq,LULD pause,2025-04-30,10:07:36
2025-04-30,09:57:09,EJH,E-Home Household Service Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-30,10:02:09
2025-04-30,09:50:37,EJH,E-Home Household Service Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-30,09:55:37
2025-04-30,09:47:36,CNF,"""CNFinance Holdings Limited American Depositary Shares, each representing twenty (20) Ordinary Shares""",NYSE,LULD pause,2025-04-30,09:52:45
2025-04-30,09:42:42,EJH,E-Home Household Service Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-30,09:47:42
2025-04-30,09:42:32,QUP,DailyDelta Q100 Upside Option Strategy ETF,NYSE Arca,LULD pause,2025-04-30,09:47:32
2025-04-30,09:37:25,EJH,E-Home Household Service Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-30,09:42:25
2025-04-30,09:34:56,NTRB,Nutriband Inc. Common Stock,Nasdaq,LULD pause,2025-04-30,09:39:56
2025-04-30,09:33:39,AEYE,"""AudioEye, Inc. Common Stock""",Nasdaq,LULD pause,2025-04-30,09:38:39
2025-04-30,09:33:35,MVRL,ETRACS Monthly Pay 1.5X Leveraged Mortgage REIT ETN,NYSE Arca,LULD pause,2025-04-30,09:38:35
2025-04-30,09:31:37,SPCY,STKd 100% SMCI & 100% NVDA ETF,Nasdaq,LULD pause,2025-04-30,09:41:37
2025-04-30,09:31:18,ULY,Urgent.ly Inc. Common Stock,Nasdaq,LULD pause,2025-04-30,09:41:18
2025-04-30,09:30:16,GBFH,GBank Financial Holdings Inc. Common Stock,Nasdaq,LULD pause,2025-04-30,09:35:16
2025-04-30,08:14:29,BERY,"""Berry Global Group, Inc.""",NYSE,Merger Effective,,
2025-04-30,06:55:00,RGLS,Regulus Therapeutics Inc.,Nasdaq,News pending,2025-04-30,07:30:00
2025-04-29,15:35:54,HPH,Highest Performances Holdings Inc. American Depository Shares,Nasdaq,LULD pause,2025-04-29,15:40:54
2025-04-29,15:28:42,HPH,Highest Performances Holdings Inc. American Depository Shares,Nasdaq,LULD pause,2025-04-29,15:33:42
2025-04-29,14:01:07,DMN,Damon Inc. Common Stock,Nasdaq,News pending,,
2025-04-29,12:14:15,ZYBT,Zhengye Biotechnology Holding Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-29,12:19:15
2025-04-29,12:07:09,ATLN,Atlantic International Corp. Common Stock,Nasdaq,LULD pause,2025-04-29,12:12:09
2025-04-29,11:20:00,ZYBT,Zhengye Biotechnology Holding Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-29,11:35:01
2025-04-29,11:14:43,ZYBT,Zhengye Biotechnology Holding Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-29,11:19:43
2025-04-29,11:14:39,MWYN,"""Marwynn Holdings, Inc. Common stock""",Nasdaq,LULD pause,2025-04-29,11:24:47
2025-04-29,11:12:43,AREB,"""American Rebel Holdings, Inc. Common Stock""",Nasdaq,LULD pause,2025-04-29,11:17:43
2025-04-29,11:08:43,MWYN,"""Marwynn Holdings, Inc. Common stock""",Nasdaq,LULD pause,2025-04-29,11:13:43
2025-04-29,11:04:27,ZYBT,Zhengye Biotechnology Holding Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-29,11:14:27
2025-04-29,10:59:10,ZYBT,Zhengye Biotechnology Holding Limited Ordinary Shares,Nasdaq,LULD pause,2025-04-29,11:04:10
