Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2025-08-29,19:50:35,NOTE,"""FiscalNote Holdings, Inc.""",NYSE,Corporate Action,2025-09-02,09:33:36
2025-08-29,19:50:35,NOTE,"""FiscalNote Holdings, Inc.""",NYSE,Corporate Action,,
2025-08-29,19:50:35,NOTE WS,"""FiscalNote Holdings, Inc. Warrants to purchase one share of Class A common stock, each at an exercise price of $11.50 per share""",NYSE,Corporate Action,,
2025-08-29,19:50:35,NOTE WS,"""FiscalNote Holdings, Inc. Warrants to purchase one share of Class A common stock, each at an exercise price of $11.50 per share""",NYSE,Corporate Action,2025-09-02,09:33:46
2025-08-29,19:50:00,LCDL,GraniteShares 2x Long LCID Daily ETF,Nasdaq,News pending,,
2025-08-29,19:50:00,LCDL,GraniteShares 2x Long LCID Daily ETF,Nasdaq,News pending,2025-09-02,09:05:00
2025-08-29,19:50:00,LCID,"""Lucid Group, Inc. Common Stock""",Nasdaq,News pending,2025-09-02,09:00:00
2025-08-29,19:50:00,MSPRZ,"""MSP Recovery, Inc. Warrant""",Nasdaq,News pending,2025-09-02,09:05:00
2025-08-29,19:50:00,MSPRZ,"""MSP Recovery, Inc. Warrant""",Nasdaq,News pending,,
2025-08-29,19:50:00,LCID,"""Lucid Group, Inc. Common Stock""",Nasdaq,News pending,,
2025-08-29,19:50:00,MSPRW,"""MSP Recovery, Inc. Warrant""",Nasdaq,News pending,2025-09-02,09:05:00
2025-08-29,19:50:00,MSPRW,"""MSP Recovery, Inc. Warrant""",Nasdaq,News pending,,
2025-08-29,19:50:00,KROP,Global X AgTech & Food Innovation ETF,Nasdaq,News pending,,
2025-08-29,19:50:00,KROP,Global X AgTech & Food Innovation ETF,Nasdaq,News pending,2025-09-02,09:00:00
2025-08-29,19:50:00,HMST,"""HomeStreet, Inc.""",Nasdaq,News pending,,
2025-08-29,19:50:00,CTEC,Global X CleanTech ETF,Nasdaq,News pending,,
2025-08-29,19:50:00,CTEC,Global X CleanTech ETF,Nasdaq,News pending,2025-09-02,09:00:00
2025-08-29,19:50:00,GNOM,Global X Genomics & Biotechnology ETF,Nasdaq,News pending,,
2025-08-29,19:50:00,GNOM,Global X Genomics & Biotechnology ETF,Nasdaq,News pending,2025-09-02,09:00:00
2025-08-29,19:50:00,BRKL,Brookline Bancorp Inc,Nasdaq,News pending,,
2025-08-29,19:50:00,ELAB,PMGC Holdings Inc. Common Stock,Nasdaq,News pending,,
2025-08-29,19:50:00,ELAB,PMGC Holdings Inc. Common Stock,Nasdaq,News pending,2025-09-02,09:00:00
2025-08-29,19:50:00,MSPR,"""MSP Recovery, Inc. Class A Common Stock""",Nasdaq,News pending,,
2025-08-29,19:50:00,MSPR,"""MSP Recovery, Inc. Class A Common Stock""",Nasdaq,News pending,2025-09-02,09:00:00
2025-08-29,19:50:00,PPBI,Pacific Premier Bancorp Inc,Nasdaq,News pending,,
2025-08-29,19:50:00,HEAL,Global X Funds Global X HealthTech ETF,Nasdaq,News pending,,
2025-08-29,19:50:00,HEAL,Global X Funds Global X HealthTech ETF,Nasdaq,News pending,2025-09-02,09:00:00
2025-08-29,19:50:00,TNFA,"""TNF Pharmaceuticals, Inc. Common Stock""",Nasdaq,News pending,2025-09-02,09:00:00
2025-08-29,19:50:00,TNFA,"""TNF Pharmaceuticals, Inc. Common Stock""",Nasdaq,News pending,,
2025-08-29,19:50:00,RNRG,Global X Funds Global X Renewable Energy Producers ETF,Nasdaq,News pending,,
2025-08-29,19:50:00,RNRG,Global X Funds Global X Renewable Energy Producers ETF,Nasdaq,News pending,2025-09-02,09:00:00
2025-08-29,19:50:00,OPOF,Old Point Financial Corp,Nasdaq,News pending,,
2025-08-29,16:30:51,FLYY,"""Spirit Aviation Holdings, Inc.""",NYSE American,News pending,See Subsequent Halt,See Subsequent Halt
2025-08-29,16:30:51,FLYY,"""Spirit Aviation Holdings, Inc.""",NYSE American,News pending,,
2025-08-29,16:05:00,ENVXW,Enovix Corporation Warrant,Nasdaq,News pending,,
2025-08-29,15:16:43,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,15:26:43
2025-08-29,15:09:35,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,15:14:35
2025-08-29,15:03:56,JFB,JFB Construction Holdings Class A Common Stock,Nasdaq,LULD pause,2025-08-29,15:13:56
2025-08-29,14:43:27,STSS,Sharps Technology Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,14:48:27
2025-08-29,14:32:53,STSS,Sharps Technology Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,14:42:53
2025-08-29,13:31:50,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,13:36:50
2025-08-29,13:26:25,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,13:31:25
2025-08-29,11:44:36,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,11:49:36
2025-08-29,11:39:09,PMI,"""Picard Medical, Inc.""",NYSE American,LULD pause,2025-08-29,11:49:09
2025-08-29,11:27:08,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,11:32:08
2025-08-29,11:19:38,PMI,"""Picard Medical, Inc.""",NYSE American,LULD pause,2025-08-29,11:29:38
2025-08-29,11:19:16,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,11:24:16
2025-08-29,11:14:17,PMI,"""Picard Medical, Inc.""",NYSE American,LULD pause,2025-08-29,11:19:17
2025-08-29,11:13:26,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,11:18:26
2025-08-29,11:10:17,YDES,YD Bio Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-29,11:15:17
2025-08-29,11:07:19,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,11:12:19
2025-08-29,11:06:37,PMI,"""Picard Medical, Inc.""",NYSE American,LULD pause,2025-08-29,11:11:37
2025-08-29,10:58:27,YDES,YD Bio Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-29,11:08:28
2025-08-29,10:52:30,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:57:30
2025-08-29,10:50:27,YDES,YD Bio Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-29,10:55:27
2025-08-29,10:46:48,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:51:48
2025-08-29,10:39:48,YDES,YD Bio Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-29,10:44:48
2025-08-29,10:38:59,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:43:59
2025-08-29,10:33:24,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:38:24
2025-08-29,10:26:55,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:31:55
2025-08-29,10:20:08,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:25:08
2025-08-29,10:14:53,ANTE,AirNet Technology Inc. Ordinary Share,Nasdaq,LULD pause,2025-08-29,10:19:53
2025-08-29,10:13:59,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:18:59
2025-08-29,10:13:51,IPDN,"""Professional Diversity Network, Inc.""",Nasdaq,LULD pause,2025-08-29,10:18:51
2025-08-29,10:11:41,YDES,YD Bio Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-29,10:21:47
2025-08-29,10:08:59,TGHL,The GrowHub Limited Class A Ordinary Shares,Nasdaq,LULD pause,2025-08-29,10:13:59
2025-08-29,10:08:42,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:13:42
2025-08-29,10:04:01,ANTE,AirNet Technology Inc. Ordinary Share,Nasdaq,LULD pause,2025-08-29,10:14:02
2025-08-29,10:03:09,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:08:09
2025-08-29,09:57:30,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,10:02:30
2025-08-29,09:53:38,ANTE,AirNet Technology Inc. Ordinary Share,Nasdaq,LULD pause,2025-08-29,10:03:39
2025-08-29,09:51:49,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,09:56:49
2025-08-29,09:48:09,ANTE,AirNet Technology Inc. Ordinary Share,Nasdaq,LULD pause,2025-08-29,09:53:09
2025-08-29,09:41:18,YYAI,Connexa Sports Technologies Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,09:46:18
2025-08-29,09:38:59,NUKK,Nukkleus Inc. Common Stock,Nasdaq,LULD pause,2025-08-29,09:43:59
2025-08-29,09:37:46,ANTE,AirNet Technology Inc. Ordinary Share,Nasdaq,LULD pause,2025-08-29,09:47:47
2025-08-29,09:36:46,YDES,YD Bio Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-29,10:11:15
2025-08-28,19:50:23,EAF,GrafTech International Ltd.,NYSE,Corporate Action,2025-08-29,09:30:23
2025-08-28,19:50:23,EAF,GrafTech International Ltd.,NYSE,Corporate Action,,
2025-08-28,19:50:00,LTRYW,"""Lottery.com, Inc. Warrants""",Nasdaq,News pending,2025-08-29,09:05:00
2025-08-28,19:50:00,LTRYW,"""Lottery.com, Inc. Warrants""",Nasdaq,News pending,,
2025-08-28,19:50:00,TC,Token Cat Limited American Depositary Shares,Nasdaq,News pending,2025-08-29,09:00:00
2025-08-28,19:50:00,TC,Token Cat Limited American Depositary Shares,Nasdaq,News pending,,
2025-08-28,19:50:00,SEGG,"""Lottery.com, Inc. Common Stock""",Nasdaq,News pending,,
2025-08-28,19:50:00,SEGG,"""Lottery.com, Inc. Common Stock""",Nasdaq,News pending,2025-08-29,09:00:00
2025-08-28,19:50:00,ITOS,"""iTeos Therapeutics, Inc. Common Stock""",Nasdaq,News pending,,
2025-08-28,15:58:45,GSRTU,GSR III Acquisition Corp. Unit,Nasdaq,LULD pause,2025-08-28,16:00:00
2025-08-28,15:15:08,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2025-08-28,15:20:08
2025-08-28,15:01:55,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2025-08-28,15:06:55
2025-08-28,14:48:05,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2025-08-28,14:53:05
2025-08-28,14:37:15,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2025-08-28,14:42:15
2025-08-28,14:31:45,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2025-08-28,14:36:45
2025-08-28,14:12:29,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2025-08-28,14:17:29
2025-08-28,14:06:21,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2025-08-28,14:11:21
2025-08-28,14:02:22,EFTY,"""Etoiles Capital Group Co., Ltd. Class A Ordinary Shares""",Nasdaq,LULD pause,2025-08-28,14:12:23
2025-08-28,13:56:00,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2025-08-28,14:06:00
2025-08-28,13:51:01,EFTY,"""Etoiles Capital Group Co., Ltd. Class A Ordinary Shares""",Nasdaq,LULD pause,2025-08-28,14:01:02
2025-08-28,13:40:35,EFTY,"""Etoiles Capital Group Co., Ltd. Class A Ordinary Shares""",Nasdaq,LULD pause,2025-08-28,13:50:35
2025-08-28,13:01:32,VALE,VALE S.A.,NYSE,News pending,2025-08-28,13:38:49
2025-08-28,12:56:59,GBR,New Concept Energy Inc,NYSE American,LULD pause,2025-08-28,13:01:59
2025-08-28,12:27:52,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2025-08-28,12:32:52
2025-08-28,11:07:17,THH,TryHard Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-28,11:17:17
2025-08-28,10:57:14,THH,TryHard Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-28,11:02:14
2025-08-28,10:50:51,THH,TryHard Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-28,10:55:51
2025-08-28,10:40:26,THH,TryHard Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-28,10:50:26
2025-08-28,10:22:43,THH,TryHard Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-28,10:39:48
2025-08-28,10:10:58,ACXP,"""Acurx Pharmaceuticals, Inc. Common Stock""",Nasdaq,LULD pause,2025-08-28,10:15:58
2025-08-28,10:05:43,RAIN,"""Rain Enhancement Technologies Holdco, Inc. Class A Common Stock""",Nasdaq,LULD pause,2025-08-28,10:10:43
2025-08-28,10:01:58,ACXP,"""Acurx Pharmaceuticals, Inc. Common Stock""",Nasdaq,LULD pause,2025-08-28,10:06:58
2025-08-28,09:54:53,GDHG,Golden Heaven Group Holdings Ltd. Class A Ordinary Shares,Nasdaq,LULD pause,2025-08-28,09:59:53
2025-08-28,09:38:25,RAY,Raytech Holding Limited Ordinary Shares,Nasdaq,LULD pause,2025-08-28,09:43:25
2025-08-28,09:34:35,GDHG,Golden Heaven Group Holdings Ltd. Class A Ordinary Shares,Nasdaq,LULD pause,2025-08-28,09:54:36
