Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2025-05-30,19:50:00,ARBB,ARB IOT Group Limited Ordinary Shares,Nasdaq,News pending,,
2025-05-30,19:50:00,ARBB,ARB IOT Group Limited Ordinary Shares,Nasdaq,News pending,2025-06-02,09:00:00
2025-05-30,19:50:00,MULN,"""Mullen Automotive, Inc. Common Stock""",Nasdaq,News pending,,
2025-05-30,19:50:00,MULN,"""Mullen Automotive, Inc. Common Stock""",Nasdaq,News pending,2025-06-02,09:00:00
2025-05-30,19:50:00,BLUE,"""bluebird bio, Inc. Common Stock""",Nasdaq,News pending,,
2025-05-30,19:50:00,EKSO,"""Ekso Bionics Holdings, Inc. Common Stock""",Nasdaq,News pending,,
2025-05-30,19:50:00,EKSO,"""Ekso Bionics Holdings, Inc. Common Stock""",Nasdaq,News pending,2025-06-02,09:00:00
2025-05-30,19:50:00,LYEL,"""Lyell Immunopharma, Inc. Common Stock""",Nasdaq,News pending,,
2025-05-30,19:50:00,LYEL,"""Lyell Immunopharma, Inc. Common Stock""",Nasdaq,News pending,2025-06-02,09:00:00
2025-05-30,19:50:00,HEES,"""H&E Equipment Services, Inc.""",Nasdaq,News pending,,
2025-05-30,19:50:00,APDN,"""Applied DNA Sciences, Inc.""",Nasdaq,News pending,,
2025-05-30,19:50:00,APDN,"""Applied DNA Sciences, Inc.""",Nasdaq,News pending,2025-06-02,09:00:00
2025-05-30,15:58:05,PTNM,Pitanium Limited Class A Ordinary shares,Nasdaq,LULD pause,2025-05-30,16:00:00
2025-05-30,15:47:52,IMCC,IM Cannabis Corp. Common Shares,Nasdaq,LULD pause,2025-05-30,16:00:00
2025-05-30,15:19:58,OFAL,OFA Group Ordinary Shares,Nasdaq,LULD pause,2025-05-30,15:29:58
2025-05-30,15:18:14,SYTA,"""Siyata Mobile, Inc.""",Nasdaq,LULD pause,2025-05-30,15:23:14
2025-05-30,13:48:45,GNTA,Genenta Science S.p.A. American Depositary Shares,Nasdaq,LULD pause,2025-05-30,13:58:46
2025-05-30,13:18:40,GWH,"""ESS Tech, Inc.""",NYSE,LULD pause,2025-05-30,13:23:51
2025-05-30,12:53:35,HCAI,"""Huachen AI Parking Management Technology Holding Co., Ltd. Ordinary Shares""",Nasdaq,LULD pause,2025-05-30,13:03:35
2025-05-30,12:40:56,AMBI,Ambipar Emergency Response,NYSE American,LULD pause,2025-05-30,12:45:56
2025-05-30,12:06:26,CISO,"""CISO Global, Inc. Common Stock""",Nasdaq,LULD pause,2025-05-30,12:11:26
2025-05-30,11:42:48,AMBI,Ambipar Emergency Response,NYSE American,LULD pause,2025-05-30,11:53:35
2025-05-30,11:37:12,WETO,Webus International Limited Ordinary Shares,Nasdaq,LULD pause,2025-05-30,11:42:12
2025-05-30,11:27:26,PTNM,Pitanium Limited Class A Ordinary shares,Nasdaq,LULD pause,2025-05-30,11:32:26
