Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2025-11-28,16:50:37,MRNY,YieldMax MRNA Option Income Strategy ETF,NYSE Arca,Corporate Action,2025-12-01,09:00:00
2025-11-28,16:50:37,MRNY,YieldMax MRNA Option Income Strategy ETF,NYSE Arca,Corporate Action,,
2025-11-28,16:50:37,TSLY,YieldMax TSLA Option Income Strategy ETF,NYSE Arca,Corporate Action,2025-12-01,09:00:00
2025-11-28,16:50:37,TSLY,YieldMax TSLA Option Income Strategy ETF,NYSE Arca,Corporate Action,,
2025-11-28,16:50:37,ULTY,YieldMax Ultra Option Income Strategy ETF,NYSE Arca,Corporate Action,,
2025-11-28,16:50:37,XYZY,YieldMax XYZ Option Income Strategy ETF,NYSE Arca,Corporate Action,,
2025-11-28,16:50:37,ULTY,YieldMax Ultra Option Income Strategy ETF,NYSE Arca,Corporate Action,2025-12-01,09:00:00
2025-11-28,16:50:37,XYZY,YieldMax XYZ Option Income Strategy ETF,NYSE Arca,Corporate Action,2025-12-01,09:06:24
2025-11-28,16:50:37,YBIT,YieldMax Bitcoin Option Income Strategy ETF,NYSE Arca,Corporate Action,,
2025-11-28,16:50:37,YBIT,YieldMax Bitcoin Option Income Strategy ETF,NYSE Arca,Corporate Action,2025-12-01,09:10:00
2025-11-28,16:50:00,WHLRP,"""Wheeler Real Estate Investment Trust, Inc. Preferred Stock""",Nasdaq,News pending,,
2025-11-28,16:50:00,WHLRP,"""Wheeler Real Estate Investment Trust, Inc. Preferred Stock""",Nasdaq,News pending,2025-12-01,09:05:00
2025-11-28,16:50:00,WHLRL,"""Wheeler Real Estate Investment Trust, Inc. 7.00% Senior Subordinated Convertible Notes Due 2031""",Nasdaq,News pending,,
2025-11-28,16:50:00,WHLRL,"""Wheeler Real Estate Investment Trust, Inc. 7.00% Senior Subordinated Convertible Notes Due 2031""",Nasdaq,News pending,2025-12-01,09:05:00
2025-11-28,16:50:00,WHLRD,"""Wheeler Real Estate Investment Trust, Inc. Series D Cumulative Preferred Stock""",Nasdaq,News pending,,
2025-11-28,16:50:00,WHLRD,"""Wheeler Real Estate Investment Trust, Inc. Series D Cumulative Preferred Stock""",Nasdaq,News pending,2025-12-01,09:05:00
2025-11-28,16:50:00,NIVFW,NewGenIvf Group Limited Warrants,Nasdaq,News pending,,
2025-11-28,16:50:00,NIVFW,NewGenIvf Group Limited Warrants,Nasdaq,News pending,2025-12-01,09:05:00
2025-11-28,16:50:00,WHLR,"""Wheeler Real Estate Investment Trust, Inc""",Nasdaq,News pending,,
2025-11-28,16:50:00,WHLR,"""Wheeler Real Estate Investment Trust, Inc""",Nasdaq,News pending,2025-12-01,09:00:00
2025-11-28,16:50:00,MBRX,"""Moleculin Biotech, Inc.""",Nasdaq,News pending,,
2025-11-28,16:50:00,MBRX,"""Moleculin Biotech, Inc.""",Nasdaq,News pending,2025-12-01,09:00:00
2025-11-28,16:50:00,KXIN,Kaixin Holdings Ordinary Shares,Nasdaq,News pending,,
2025-11-28,16:50:00,KXIN,Kaixin Holdings Ordinary Shares,Nasdaq,News pending,2025-12-01,09:00:00
2025-11-28,16:50:00,NIVF,NewGenIvf Group Limited Class A ordinary shares,Nasdaq,News pending,,
2025-11-28,16:50:00,NIVF,NewGenIvf Group Limited Class A ordinary shares,Nasdaq,News pending,2025-12-01,09:00:00
2025-11-28,13:06:46,AMBP WS,"""Ardagh Metal Packaging S.A. Warrants, each exercisable for one Share at an exercise price of $11.50 per share""",NYSE,News Released,,
2025-11-28,12:43:03,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,12:48:03
2025-11-28,12:00:45,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,12:05:45
2025-11-28,11:37:28,BMHL,Bluemount Holdings Limited Class B Ordinary Shares,Nasdaq,LULD pause,2025-11-28,11:42:28
2025-11-28,11:35:30,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,11:40:30
2025-11-28,11:27:53,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,11:32:53
2025-11-28,11:19:01,ANPA,Rich Sparkle Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-11-28,11:24:01
2025-11-28,11:07:14,ANPA,Rich Sparkle Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-11-28,11:17:14
2025-11-28,11:00:20,ANPA,Rich Sparkle Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-11-28,11:05:20
2025-11-28,10:57:57,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,11:02:57
2025-11-28,10:54:41,ANPA,Rich Sparkle Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:59:41
2025-11-28,10:42:34,ANPA,Rich Sparkle Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:47:34
2025-11-28,10:41:41,NXTT,Next Technology Holding Inc. Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:46:41
2025-11-28,10:35:17,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:40:17
2025-11-28,10:21:17,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:31:17
2025-11-28,10:20:40,BRR,Columbus Circle Capital Corp I Class A Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:25:40
2025-11-28,10:15:53,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:20:53
2025-11-28,10:11:23,LUD,Luda Technology Group Limited,NYSE American,LULD pause,2025-11-28,10:21:23
2025-11-28,10:10:59,LITL,Simplify Piper Sandler US Small-Cap PLUS Income ETF,NYSE Arca,LULD pause,2025-11-28,10:15:59
2025-11-28,10:10:24,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:15:24
2025-11-28,10:04:30,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:09:30
2025-11-28,09:51:33,ZBAI,ATIF Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:01:33
2025-11-28,09:51:03,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,09:56:03
2025-11-28,09:50:40,ADTX,"""Aditxt, Inc. Common Stock""",Nasdaq,LULD pause,2025-11-28,09:55:40
2025-11-28,09:42:48,IPST,"""Heritage Distilling Holding Company, Inc. Common Stock""",Nasdaq,LULD pause,2025-11-28,09:47:48
2025-11-28,09:42:36,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,09:47:36
2025-11-28,09:42:13,NXTT,Next Technology Holding Inc. Ordinary Shares,Nasdaq,LULD pause,2025-11-28,10:07:39
2025-11-28,09:38:30,NCIQ,Hashdex Nasdaq Crypto Index US ETF,Nasdaq,LULD pause,2025-11-28,09:43:30
2025-11-28,09:32:31,BDCX,"""ETRACS Quarterly Pay 1.5x Leveraged MarketVector BDC Liquid Index ETN due June 10, 2050""",NYSE Arca,LULD pause,2025-11-28,09:37:31
2025-11-28,09:32:13,LRGC,AB US Large Cap Strategic Equities ETF,NYSE Arca,LULD pause,2025-11-28,09:37:13
2025-11-28,09:32:00,KTTA,Pasithea Therapeutics Corp. Common Stock,Nasdaq,LULD pause,2025-11-28,09:37:00
2025-11-28,09:31:22,SMX,SMX (Security Matters) Public Limited Company Ordinary Shares,Nasdaq,LULD pause,2025-11-28,09:36:22
2025-11-28,09:30:16,IPST,"""Heritage Distilling Holding Company, Inc. Common Stock""",Nasdaq,LULD pause,2025-11-28,09:40:16
2025-11-28,09:30:16,NCIQ,Hashdex Nasdaq Crypto Index US ETF,Nasdaq,LULD pause,2025-11-28,09:35:16
