Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2025-12-31,19:50:00,BFIN,BankFinancial Corporation,Nasdaq,News pending,,
2025-12-31,19:50:00,RVYL,Ryvyl Inc. Common Stock,Nasdaq,News pending,2026-01-02,09:00:00
2025-12-31,19:50:00,RVYL,Ryvyl Inc. Common Stock,Nasdaq,News pending,,
2025-12-31,19:50:00,PAVM,PAVmed Inc. Common Stock,Nasdaq,News pending,,
2025-12-31,19:50:00,PAVM,PAVmed Inc. Common Stock,Nasdaq,News pending,2026-01-02,09:00:00
2025-12-31,19:50:00,CODX,"""Co-Diagnostics, Inc. Common Stock""",Nasdaq,News pending,2026-01-02,09:00:00
2025-12-31,19:50:00,CODX,"""Co-Diagnostics, Inc. Common Stock""",Nasdaq,News pending,,
2025-12-31,16:10:00,OTLK,"""Outlook Therapeutics, Inc. Common Stock""",Nasdaq,News pending,2025-12-31,16:35:00
2025-12-31,15:22:06,RDACU,Rising Dragon Acquisition Corp. Unit,Nasdaq,LULD pause,2025-12-31,15:27:06
2025-12-31,14:15:53,JXG,JX Luxventure Limited Common Stock,Nasdaq,LULD pause,2025-12-31,14:20:53
2025-12-31,13:00:18,BUUU,BUUU Group Limited Class A Ordinary Share,Nasdaq,LULD pause,2025-12-31,13:13:07
2025-12-31,12:54:19,BYFC,Broadway Financial Corp/Del,Nasdaq,LULD pause,2025-12-31,12:59:19
2025-12-31,12:30:50,GVH,Globavend Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2025-12-31,12:35:50
2025-12-31,11:21:38,ALCYU,Alchemy Investments Acquisition Corp 1 Units,Nasdaq,LULD pause,2025-12-31,11:26:38
2025-12-31,10:40:55,ESHA,ESH Acquisition Corp. Class A Common Stock,Nasdaq,LULD pause,2025-12-31,10:45:55
2025-12-31,10:37:15,HUIZ,Huize Holding Limited American Depositary Shares,Nasdaq,LULD pause,2025-12-31,10:42:15
