Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2026-03-31,19:50:51,BARK,"""BARK, Inc.""",NYSE,Corporate Action,2026-04-01,09:30:11
2026-03-31,19:50:51,BARK,"""BARK, Inc.""",NYSE,Corporate Action,,
2026-03-31,19:50:00,UCAR,U Power Limited Class A Ordinary Shares,Nasdaq,News pending,,
2026-03-31,19:50:00,UCAR,U Power Limited Class A Ordinary Shares,Nasdaq,News pending,2026-04-01,09:00:00
2026-03-31,19:50:00,OS,"""OneStream, Inc. Class A Common Stock""",Nasdaq,News pending,,
2026-03-31,19:50:00,AUUD,Auddia Inc. Common Stock,Nasdaq,News pending,2026-04-01,09:00:00
2026-03-31,19:50:00,AUUD,Auddia Inc. Common Stock,Nasdaq,News pending,,
2026-03-31,19:50:00,UBFO,United Security Bancshares,Nasdaq,News pending,,
2026-03-31,19:50:00,GLDD,Great Lakes Dredge & Dock Corporation,Nasdaq,News pending,,
2026-03-31,19:50:00,BLFY,Blue Foundry Bancorp Common Stock,Nasdaq,News pending,,
2026-03-31,15:33:06,UBXG,U-BX Technology Ltd. Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,16:00:00
2026-03-31,15:24:09,NSA PRB,National Storage Affiliates Trust 6.000% Series B Cumulative Redeemable Preferred Shares of Beneficial Interest,NYSE,LULD pause,2026-03-31,15:32:02
2026-03-31,15:09:08,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,15:14:08
2026-03-31,15:07:14,ELAB,PMGC Holdings Inc. Common Stock,Nasdaq,LULD pause,2026-03-31,15:12:14
2026-03-31,15:00:21,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,15:05:21
2026-03-31,14:53:08,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,14:58:08
2026-03-31,14:30:56,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,14:45:57
2026-03-31,14:25:32,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,14:30:32
2026-03-31,14:13:57,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,14:23:57
2026-03-31,14:08:37,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,14:13:37
2026-03-31,13:58:17,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,14:08:17
2026-03-31,13:52:25,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,13:57:25
2026-03-31,13:39:02,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,13:44:02
2026-03-31,13:32:19,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,13:37:19
2026-03-31,13:26:57,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,13:31:57
2026-03-31,13:21:21,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,13:26:21
2026-03-31,13:06:04,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,13:21:04
2026-03-31,13:04:18,RDACU,Rising Dragon Acquisition Corp. Unit,Nasdaq,LULD pause,2026-03-31,13:09:18
2026-03-31,12:25:23,ELAB,PMGC Holdings Inc. Common Stock,Nasdaq,LULD pause,2026-03-31,12:30:23
2026-03-31,12:03:47,NCI,Neo-Concept International Group Holdings Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,13:05:46
2026-03-31,11:43:50,PHGE,BiomX Inc.,NYSE American,LULD pause,2026-03-31,11:48:50
2026-03-31,11:22:51,HSY,The Hershey Company,NYSE,News pending,2026-03-31,11:50:58
2026-03-31,11:00:52,TRUG,"""TruGolf Holdings, Inc. Class A Common Stock""",Nasdaq,LULD pause,2026-03-31,11:05:52
2026-03-31,10:55:24,TRUG,"""TruGolf Holdings, Inc. Class A Common Stock""",Nasdaq,LULD pause,2026-03-31,11:00:24
2026-03-31,10:50:07,TRUG,"""TruGolf Holdings, Inc. Class A Common Stock""",Nasdaq,LULD pause,2026-03-31,10:55:07
2026-03-31,10:49:30,PHGE,BiomX Inc.,NYSE American,LULD pause,2026-03-31,10:59:30
2026-03-31,09:56:26,MASK,3 E Network Technology Group Ltd Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,10:01:26
2026-03-31,09:45:58,AIOS,AIOS Tech Inc. Class A Common Shares,Nasdaq,LULD pause,2026-03-31,09:50:58
2026-03-31,09:43:29,SOGP,Sound Group Inc. American Depositary Shares,Nasdaq,LULD pause,2026-03-31,09:48:29
2026-03-31,09:43:07,NPT,Texxon Holding Limited Ordinary shares,Nasdaq,LULD pause,2026-03-31,09:48:07
2026-03-31,09:40:36,AIOS,AIOS Tech Inc. Class A Common Shares,Nasdaq,LULD pause,2026-03-31,09:45:36
2026-03-31,09:38:24,FCHL,Fitness Champs Holdings Limited Common Stock,Nasdaq,LULD pause,2026-03-31,09:43:24
2026-03-31,09:36:43,HQ,Horizon Quantum Holdings Ltd. Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-31,09:41:43
2026-03-31,09:34:49,TANH,Tantech Holdings Ltd. Class A Common Shares,Nasdaq,LULD pause,2026-03-31,09:39:49
2026-03-31,09:33:43,THY,Toews Agility Shares Dynamic Tactical Income ETF,NYSE Arca,LULD pause,2026-03-31,09:38:43
2026-03-31,09:31:55,NPT,Texxon Holding Limited Ordinary shares,Nasdaq,LULD pause,2026-03-31,09:36:55
2026-03-31,09:30:16,NCEW,New Century Logistics (BVI) Limited Ordinary Shares,Nasdaq,LULD pause,2026-03-31,09:40:16
2026-03-31,08:00:00,CRACW,Crown Reserve Acquisition Corp. I Warrant,Nasdaq,News pending,2026-03-31,08:40:00
2026-03-31,08:00:00,CRACU,Crown Reserve Acquisition Corp. I Unit,Nasdaq,News pending,2026-03-31,08:40:00
2026-03-31,08:00:00,CRACR,Crown Reserve Acquisition Corp. I Rights,Nasdaq,News pending,2026-03-31,08:40:00
2026-03-31,08:00:00,CRAC,Crown Reserve Acquisition Corp. I Class A Ordinary Shares,Nasdaq,News pending,2026-03-31,08:35:00
2026-03-31,07:55:00,IOBT,"""IO Biotech, Inc. Common Stock""",Nasdaq,News pending,2026-03-31,08:30:00
2026-03-30,19:50:14,AGL,"""agilon health, inc.""",NYSE,Corporate Action,,
2026-03-30,19:50:14,AGL,"""agilon health, inc.""",NYSE,Corporate Action,2026-03-31,09:34:05
2026-03-30,19:50:00,MODD,"""Modular Medical, Inc. Common Stock""",Nasdaq,News pending,2026-03-31,09:00:00
2026-03-30,19:50:00,MODD,"""Modular Medical, Inc. Common Stock""",Nasdaq,News pending,,
2026-03-30,19:50:00,PAVS,Paranovus Entertainment Technology Ltd. Class A Ordinary Shares,Nasdaq,News pending,,
2026-03-30,19:50:00,PAVS,Paranovus Entertainment Technology Ltd. Class A Ordinary Shares,Nasdaq,News pending,2026-03-31,09:00:00
2026-03-30,19:50:00,AKTX,Akari Therapeutics plc ADR (0.01 USD),Nasdaq,News pending,2026-03-31,09:00:00
2026-03-30,19:50:00,AKTX,Akari Therapeutics plc ADR (0.01 USD),Nasdaq,News pending,,
2026-03-30,17:55:00,RPAY,Repay Holdings Corporation Class A Common Stock,Nasdaq,News pending,2026-03-30,18:30:00
2026-03-30,16:01:00,PEPG,PepGen Inc. Common Stock,Nasdaq,News pending,2026-03-30,16:40:00
2026-03-30,16:00:10,AFBI,"""Affinity Bancshares, Inc. Common Stock (MD)""",Nasdaq,News pending,2026-03-30,17:25:00
2026-03-30,15:55:30,VACHU,Voyager Acquisition Corp Unit,Nasdaq,LULD pause,2026-03-30,16:02:25
2026-03-30,13:55:36,PMNT,Perfect Moment Ltd.,NYSE American,News pending,2026-03-30,14:35:00
2026-03-30,13:12:55,BFRG,"""Bullfrog AI Holdings, Inc. Common Stock""",Nasdaq,LULD pause,2026-03-30,13:17:55
2026-03-30,12:02:37,QNTM,Quantum Biopharma Ltd. Class B Subordinate Voting Shares,Nasdaq,LULD pause,2026-03-30,12:07:37
2026-03-30,11:50:10,QNTM,Quantum Biopharma Ltd. Class B Subordinate Voting Shares,Nasdaq,LULD pause,2026-03-30,12:00:10
2026-03-30,11:09:09,BFRG,"""Bullfrog AI Holdings, Inc. Common Stock""",Nasdaq,LULD pause,2026-03-30,11:14:09
2026-03-30,10:25:47,ROMA,Roma Green Finance Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-30,10:55:48
2026-03-30,10:19:12,MKDW,MKDWELL Tech Inc. Ordinary Share,Nasdaq,LULD pause,2026-03-30,10:24:12
2026-03-30,10:18:29,ASTC,Astrotech Corporation (DE) Common Stock,Nasdaq,LULD pause,2026-03-30,10:23:29
2026-03-30,10:15:30,ROMA,Roma Green Finance Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-30,10:25:30
2026-03-30,10:05:51,MKDW,MKDWELL Tech Inc. Ordinary Share,Nasdaq,LULD pause,2026-03-30,10:10:51
2026-03-30,10:00:14,MKDW,MKDWELL Tech Inc. Ordinary Share,Nasdaq,LULD pause,2026-03-30,10:05:14
2026-03-30,09:52:54,SVRN,OceanPal Inc. Common Stock,Nasdaq,LULD pause,2026-03-30,09:57:54
2026-03-30,09:50:37,GLND,Greenland Energy Company Common Stock,Nasdaq,LULD pause,2026-03-30,09:55:37
2026-03-30,09:50:14,ROMA,Roma Green Finance Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-30,10:15:15
2026-03-30,09:49:22,ATXG,Addentax Group Corp. Common Stock,Nasdaq,LULD pause,2026-03-30,09:54:22
2026-03-30,09:44:48,SVRN,OceanPal Inc. Common Stock,Nasdaq,LULD pause,2026-03-30,09:49:48
2026-03-30,09:44:00,MKDW,MKDWELL Tech Inc. Ordinary Share,Nasdaq,LULD pause,2026-03-30,09:59:01
2026-03-30,09:38:20,LUD,Luda Technology Group Limited,NYSE American,LULD pause,2026-03-30,09:43:20
2026-03-30,09:36:45,BFRG,"""Bullfrog AI Holdings, Inc. Common Stock""",Nasdaq,LULD pause,2026-03-30,09:41:45
2026-03-30,09:33:58,ROMA,Roma Green Finance Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-03-30,09:43:58
2026-03-30,09:33:39,MKDW,MKDWELL Tech Inc. Ordinary Share,Nasdaq,LULD pause,2026-03-30,09:43:40
2026-03-30,09:30:46,RWAYI,Runway Growth Finance Corp. 7.25% Notes due 2031,Nasdaq,LULD pause,2026-03-30,09:35:46
2026-03-30,09:30:19,ZDAI,"""DirectBooking Technology Co., Ltd. Class A Ordinary Shares""",Nasdaq,LULD pause,2026-03-30,09:35:19
2026-03-30,07:55:00,KZR,"""Kezar Life Sciences, Inc. Common Stock""",Nasdaq,News pending,2026-03-30,08:35:00
2026-03-27,19:50:00,FBLG,"""FibroBiologics, Inc. Common Stock""",Nasdaq,News pending,,
2026-03-27,19:50:00,FBLG,"""FibroBiologics, Inc. Common Stock""",Nasdaq,News pending,2026-03-30,09:00:00
2026-03-27,19:50:00,SVRN,OceanPal Inc. Common Stock,Nasdaq,News pending,,
2026-03-27,19:50:00,SVRN,OceanPal Inc. Common Stock,Nasdaq,News pending,2026-03-30,09:00:00
2026-03-27,19:50:00,ATXG,Addentax Group Corp. Common Stock,Nasdaq,News pending,,
2026-03-27,19:50:00,ATXG,Addentax Group Corp. Common Stock,Nasdaq,News pending,2026-03-30,09:00:00
2026-03-27,19:50:00,EJH,E-Home Household Service Holdings Limited Ordinary Shares,Nasdaq,News pending,,
