Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2026-04-30,19:50:00,MRAL,GraniteShares 2x Long MARA Daily ETF,Nasdaq,News pending,2026-05-01,09:00:00
2026-04-30,19:50:00,MRAL,GraniteShares 2x Long MARA Daily ETF,Nasdaq,News pending,,
2026-04-30,19:50:00,GMEX,GMEX ROBOTICS CORPORATION Class A Ordinary Shares,Nasdaq,News pending,2026-05-01,09:00:00
2026-04-30,19:50:00,GMEX,GMEX ROBOTICS CORPORATION Class A Ordinary Shares,Nasdaq,News pending,,
2026-04-30,19:50:00,MSTP,GraniteShares 2x Long MSTR Daily ETF,Nasdaq,News pending,2026-05-01,09:00:00
2026-04-30,19:50:00,MSTP,GraniteShares 2x Long MSTR Daily ETF,Nasdaq,News pending,,
2026-04-30,19:50:00,SMCL,GraniteShares 2x Long SMCI Daily ETF,Nasdaq,News pending,2026-05-01,09:00:00
2026-04-30,19:50:00,SMCL,GraniteShares 2x Long SMCI Daily ETF,Nasdaq,News pending,,
2026-04-30,19:50:00,TLIH,Ten-League International Holdings Limited Ordinary Shares,Nasdaq,News pending,2026-05-01,09:00:00
2026-04-30,19:50:00,TLIH,Ten-League International Holdings Limited Ordinary Shares,Nasdaq,News pending,,
2026-04-30,15:44:41,SKBL,Skyline Builders Group Holding Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-04-30,16:00:00
2026-04-30,15:36:38,SKBL,Skyline Builders Group Holding Limited Class A Ordinary Shares,Nasdaq,LULD pause,2026-04-30,15:41:38
2026-04-30,14:54:49,MB,MasterBeef Group Ordinary Shares,Nasdaq,LULD pause,2026-04-30,14:59:49
2026-04-30,14:27:49,AIOS,AIOS Tech Inc. Class A Common Shares,Nasdaq,LULD pause,2026-04-30,14:32:49
2026-04-30,14:27:34,CTNT,Cheetah Net Supply Chain Service Inc. Class A Common Stock,Nasdaq,LULD pause,2026-04-30,14:32:34
2026-04-30,14:14:08,CTNT,Cheetah Net Supply Chain Service Inc. Class A Common Stock,Nasdaq,LULD pause,2026-04-30,14:24:09
2026-04-30,14:03:18,AXSM,"""Axsome Therapeutics, Inc""",Nasdaq,News pending,2026-04-30,14:40:00
2026-04-30,13:32:36,MAXN,"""Maxeon Solar Technologies, Ltd. Ordinary Shares""",Nasdaq,LULD pause,2026-04-30,13:37:36
2026-04-30,13:10:14,GYRO,"""Gyrodyne, LLC Common Stock""",Nasdaq,LULD pause,2026-04-30,13:15:14
2026-04-30,13:00:48,GYRO,"""Gyrodyne, LLC Common Stock""",Nasdaq,LULD pause,2026-04-30,13:05:48
2026-04-30,12:28:55,AKAN,Akanda Corp. Common Shares,Nasdaq,LULD pause,2026-04-30,12:38:55
2026-04-30,11:26:46,UBXG,U-BX Technology Ltd. Class A Ordinary Shares,Nasdaq,LULD pause,2026-04-30,11:31:46
2026-04-30,11:21:01,UBXG,U-BX Technology Ltd. Class A Ordinary Shares,Nasdaq,LULD pause,2026-04-30,11:26:01
2026-04-30,11:19:36,WTF,Waton Financial Limited Ordinary Shares,Nasdaq,LULD pause,2026-04-30,11:24:36
2026-04-30,11:19:20,MBSX,Regan Fixed Rate MBS ETF,NYSE Arca,LULD pause,2026-04-30,11:24:20
