Halt Date,Halt Time,Symbol,Name,Exchange,Reason,Resume Date,NYSE Resume Time
2024-09-30,19:50:00,BCLI,Brainstorm Cell Therapeutics Inc.,Nasdaq,News pending,2024-10-01,09:00:00
2024-09-30,19:50:00,BCLI,Brainstorm Cell Therapeutics Inc.,Nasdaq,News pending,,
2024-09-30,19:50:00,LSBPW,"""LakeShore Biopharma Co., Ltd Warrants""",Nasdaq,News pending,2024-10-04,09:05:00
2024-09-30,19:50:00,LSBPW,"""LakeShore Biopharma Co., Ltd Warrants""",Nasdaq,News pending,,
2024-09-30,19:50:00,LSB,"""LakeShore Biopharma Co., Ltd Ordinary Shares""",Nasdaq,News pending,2024-10-04,09:00:00
2024-09-30,19:50:00,LSB,"""LakeShore Biopharma Co., Ltd Ordinary Shares""",Nasdaq,News pending,,
2024-09-30,15:58:59,CURB WI,Curbline Properties Corp.,NYSE,LULD pause,2024-09-30,16:02:39
2024-09-30,15:58:52,FIAC,Focus Impact Acquisition Corp. Class A Common Stock,Nasdaq,LULD pause,2024-09-30,16:00:00
2024-09-30,15:54:01,ATGL,Alpha Technology Group Limited Ordinary Shares,Nasdaq,LULD pause,2024-09-30,16:00:00
2024-09-30,11:04:47,PAVS,Paranovus Entertainment Technology Ltd. Class A Ordinary Shares,Nasdaq,LULD pause,2024-09-30,11:09:47
2024-09-30,10:51:36,QMMM,QMMM Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-09-30,10:56:36
2024-09-30,10:45:20,QMMM,QMMM Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-09-30,10:50:20
2024-09-30,10:39:49,QMMM,QMMM Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-09-30,10:44:49
2024-09-30,10:34:34,QMMM,QMMM Holdings Limited Ordinary Shares,Nasdaq,LULD pause,2024-09-30,10:39:34
2024-09-30,10:17:30,NFE,New Fortress Energy Inc. Class A Common Stock,Nasdaq,LULD pause,2024-09-30,10:22:30
2024-09-30,10:15:34,PAVS,Paranovus Entertainment Technology Ltd. Class A Ordinary Shares,Nasdaq,LULD pause,2024-09-30,10:20:34
2024-09-30,10:04:27,XHG,XChange TEC.INC American Depositary Shares,Nasdaq,LULD pause,2024-09-30,10:09:27
2024-09-30,09:55:57,RAY,Raytech Holding Limited Ordinary Shares,Nasdaq,LULD pause,2024-09-30,10:00:57
2024-09-30,09:47:55,PCTTU,"""PureCycle Technologies, Inc. Unit""",Nasdaq,LULD pause,2024-09-30,09:52:55
2024-09-30,09:43:59,ATGL,Alpha Technology Group Limited Ordinary Shares,Nasdaq,LULD pause,2024-09-30,09:53:59
2024-09-30,09:43:37,CNET,ZW Data Action Technologies Inc. Common Stock,Nasdaq,LULD pause,2024-09-30,09:48:37
2024-09-30,09:43:33,ICG,Intchains Group Limited American Depositary Shares,Nasdaq,LULD pause,2024-09-30,09:53:33
2024-09-30,09:40:06,FOXX,Foxx Development Holdings Inc. Common Stock,Nasdaq,LULD pause,2024-09-30,09:45:06
2024-09-30,09:33:07,CNET,ZW Data Action Technologies Inc. Common Stock,Nasdaq,LULD pause,2024-09-30,09:43:07
2024-09-30,09:31:43,ICG,Intchains Group Limited American Depositary Shares,Nasdaq,LULD pause,2024-09-30,09:36:43
2024-09-30,08:26:28,SGE,"""Strong Global Entertainment, Inc.""",NYSE American,Merger Effective,,
2024-09-30,08:15:00,KZR,"""Kezar Life Sciences, Inc. Common Stock""",Nasdaq,News pending,2024-09-30,09:00:00
2024-09-30,06:56:53,GOGO,Gogo Inc.,Nasdaq,News pending,2024-09-30,07:30:00
2024-09-30,03:51:16,TEL,TE Connectivity plc,NYSE,Corporate Action,2024-09-30,09:30:45
2024-09-27,19:50:00,LXEH,"""Lixiang Education Holding Co., Ltd. American Depositary Shares""",Nasdaq,News pending,,
2024-09-27,19:50:00,LXEH,"""Lixiang Education Holding Co., Ltd. American Depositary Shares""",Nasdaq,News pending,2024-09-30,09:00:00
2024-09-27,19:50:00,SONN,"""Sonnet BioTherapeutics Holdings, Inc. Common Stock""",Nasdaq,News pending,,
2024-09-27,19:50:00,SONN,"""Sonnet BioTherapeutics Holdings, Inc. Common Stock""",Nasdaq,News pending,2024-09-30,09:00:00
