구분,시장구분,회사명,종목코드,상장일,상장주식수(천주)
주권,유가증권,제일약품,271980,2017-07-17,14705
주권,유가증권,카카오,035720,2017-07-10,442981
주권,유가증권,오리온,271560,2017-07-07,39529
주권,유가증권,미원에스씨,268280,2017-05-22,5000
주권,유가증권,경동도시가스,267290,2017-05-12,5895
주권,유가증권,넷마블,251270,2017-05-12,81935
주권,유가증권,HD건설기계,267270,2017-05-10,47922
주권,유가증권,HD현대,267250,2017-05-10,78993
주권,유가증권,HD현대일렉트릭,267260,2017-05-10,36047
주권,유가증권,크라운제과,264900,2017-04-11,13297
주권,유가증권,덴티움,145720,2017-03-15,8624
주권,유가증권,호전실업,111110,2017-02-02,9066
주권,유가증권,핸즈코퍼레이션,143210,2016-12-02,28000
주권,유가증권,두산밥캣,241560,2016-11-18,95856
주권,유가증권,삼성바이오로직스,207940,2016-11-10,46291
주권,유가증권,JW생명과학,234080,2016-10-27,15835
주권,유가증권,화승엔터프라이즈,241590,2016-10-04,60589
주권,유가증권,LS에코에너지,229640,2016-09-22,30625
주권,유가증권,일동제약,249420,2016-08-31,31638
주권,유가증권,샘표식품,248170,2016-08-09,4568
주권,유가증권,두올,016740,2016-07-29,28674
주권,유가증권,동서,026960,2016-07-15,99700
주권,유가증권,한국자산신탁,123890,2016-07-13,122374
주권,유가증권,한국토지신탁,034830,2016-07-11,252489
주권,유가증권,해성디에스,195870,2016-06-24,17000
주권,유가증권,모나용평,070960,2016-05-27,48133
주권,유가증권,해태제과식품,101530,2016-05-11,29117
주권,유가증권,삼일씨엔에스,004440,2016-03-30,12732
주권,유가증권,제이에스코퍼레이션,194370,2016-02-04,29017
주권,유가증권,잇츠한불,226320,2015-12-28,21929
주권,유가증권,세진중공업,075580,2015-11-30,56849
주권,유가증권,금호에이치티,214330,2015-11-11,10457
주권,유가증권,제주항공,089590,2015-11-06,80641
주권,유가증권,현대코퍼레이션홀딩스,227840,2015-10-23,9101
주권,유가증권,LIG디펜스앤에어로스페이스,079550,2015-10-02,22000
주권,유가증권,HDC랩스,039570,2015-09-24,25958
주권,유가증권,동일제강,002690,2015-09-24,20300
주권,유가증권,AJ네트웍스,095570,2015-08-21,45253
주권,유가증권,이노션,214320,2015-07-17,40000
주권,유가증권,토니모리,214420,2015-07-10,24055
주권,유가증권,미래에셋생명,085620,2015-07-08,135180
주권,유가증권,경보제약,214390,2015-06-29,23907
주권,유가증권,SK디앤디,210980,2015-06-23,18617
주권,유가증권,다이나믹디자인,145210,2015-03-19,42237
주권,유가증권,한솔제지,213500,2015-01-26,23801
주권,유가증권,디와이파워,210540,2015-01-15,11042
주권,유가증권,삼성물산,028260,2014-12-18,163635
주권,유가증권,씨에스윈드,112610,2014-11-27,42171
주권,유가증권,삼성에스디에스,018260,2014-11-14,77378
주권,유가증권,HL만도,204320,2014-10-06,46957
주권,유가증권,서연이화,200880,2014-08-08,27028
주권,유가증권,쿠쿠홀딩스,192400,2014-08-06,35562
주권,유가증권,화인베스틸,133820,2014-07-22,37115
주권,유가증권,BGF,027410,2014-05-19,95717
주권,유가증권,코스맥스,192820,2014-04-07,11350
주권,유가증권,종근당,185750,2013-12-06,13803
주권,유가증권,신송홀딩스,006880,2013-11-21,11829
주권,유가증권,아세아시멘트,183190,2013-11-06,35978
주권,유가증권,현대로템,064350,2013-10-30,109142
주권,유가증권,한진칼,180640,2013-09-16,67299
주권,유가증권,NHN,181710,2013-08-29,32753
주권,유가증권,JB금융지주,175330,2013-07-18,188254
주권,유가증권,DSR,155660,2013-05-15,16000
주권,유가증권,동아에스티,170900,2013-04-08,9728
주권,유가증권,지엠비코리아,013870,2012-11-20,19072
주권,유가증권,LG헬로비전,037560,2012-11-09,77447
주권,유가증권,동일고무벨트,163560,2012-10-19,13900
주권,유가증권,한국콜마,161890,2012-10-19,23605
주권,유가증권,한국타이어앤테크놀로지,161390,2012-10-04,123875
주권,유가증권,애경케미칼,161000,2012-09-17,48649
주권,유가증권,사조씨푸드,014710,2012-06-29,17219
주권,유가증권,휴비스,079980,2012-02-23,34500
주권,유가증권,GS리테일,007070,2011-12-23,83607
주권,유가증권,인터지스,129260,2011-12-16,29748
주권,유가증권,삼양사,145990,2011-12-05,10684
주권,유가증권,하나투어,039130,2011-11-01,15490
주권,유가증권,에이블씨엔씨,078520,2011-09-07,26014
주권,유가증권,삼원강재,023000,2011-07-22,39740
주권,유가증권,신세계인터내셔날,031430,2011-07-14,34986
주권,유가증권,한국항공우주,047810,2011-06-30,97475
주권,유가증권,롯데하이마트,071840,2011-06-29,23608
주권,유가증권,한세엠케이,069640,2011-06-21,22403
주권,유가증권,이마트,139480,2011-06-10,27596
주권,유가증권,iM금융지주,139130,2011-06-07,158363
주권,유가증권,케이티스카이라이프,053210,2011-06-03,47523
