공시일,시각,애프터,종목코드,종목명,decile,관리부담,사유성격,정지사유,동반공시,정지공시_원문
20240910,16:58:11,Y,101730,위메이드맥스,D6,뉴스형(즉시조치),자본·조직변동,"주식교환, 이전",(주)위메이드맥스 주식교환ㆍ이전 결정,"(주)위메이드맥스 주권매매거래정지(주식교환, 이전)"
20240911,14:54:16,,187870,디바이스,D7,뉴스형(즉시조치),대형계약,단일판매공급계약,(주)디바이스이엔지 단일판매ㆍ공급계약체결,(주)디바이스이엔지 주권매매거래정지(단일판매공급계약)
20240913,11:34:22,,030350,드래곤플라이,D7,뉴스형(즉시조치),자본·조직변동,자본감소,(주)드래곤플라이 주주총회소집결의(임시주주총회),(주)드래곤플라이 주권매매거래정지(자본감소)
20240919,17:23:19,Y,900290,GRT,(유니버스 밖),뉴스형(즉시조치),자본·조직변동,주식배당,그레이트리치과기유한공사 주식배당결정,그레이트리치과기유한공사 주권매매거래정지(주식배당)
20240919,18:33:23,Y,317240,TS트릴리온,D6,뉴스형(즉시조치),부실·위험,회생절차개시신청,(주)티에스트릴리온 관리종목지정(회생절차 개시신청),(주)티에스트릴리온 주권매매거래정지(회생절차개시신청)
20240923,17:12:40,Y,272110,케이엔제이,D4,뉴스형(즉시조치),부실·위험,중요한 영업정지,(주)케이엔제이 영업정지,(주)케이엔제이 주권매매거래정지(중요한 영업정지)
20240924,15:09:16,,226360,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,케이에이치건설 주식회사 (정정)상장폐지,케이에이치건설 주식회사 주권매매거래정지(투자자 보호)
20240924,15:11:29,,174880,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,(주)장원테크 (정정)상장폐지,(주)장원테크 주권매매거래정지(투자자 보호)
20240924,15:27:59,,111870,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,케이에이치미래물산(주) 기타시장안내(정리매매 보류 관련),케이에이치미래물산(주) 주권매매거래정지(투자자 보호)
20240924,16:05:35,Y,042940,상지건설,D4,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)상지건설 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240924,16:22:37,Y,164060,(상장폐지),D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"주식회사 이루다 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240925,16:27:07,Y,043090,더테크놀로지,D8,뉴스형(즉시조치),자본·조직변동,자본감소,(주)더 테크놀로지 감자결정,(주)더 테크놀로지 주권매매거래정지(자본감소)
20240927,16:03:13,Y,051780,큐로홀딩스,D8,뉴스형(즉시조치),자본·조직변동,자본감소,(주)큐로홀딩스 감자결정,(주)큐로홀딩스 주권매매거래정지(자본감소)
20240930,16:47:13,Y,477530,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,한국제14호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),한국제14호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240930,17:21:15,Y,244460,올리패스,(유니버스 밖),집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"올리패스(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241002,11:31:16,,437730,삼현,D1,뉴스형(즉시조치),자본·조직변동,무상증자,(주)삼현 무상증자결정,(주)삼현 주권매매거래정지(무상증자)
20241002,15:31:56,,066410,버킷스튜디오,(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자보호,(주)버킷스튜디오 (정정)상장폐지,(주)버킷스튜디오 주권매매거래정지(투자자보호)
20241002,15:58:05,Y,121800,비덴트,(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,(주)비덴트 (정정)상장폐지,(주)비덴트 주권매매거래정지(투자자 보호)
20241002,16:49:18,Y,214870,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,뉴지랩파마(주) (정정)상장폐지,뉴지랩파마(주) 주권매매거래정지(투자자 보호)
20241004,16:56:27,Y,009620,삼보산업,D6,뉴스형(즉시조치),자본·조직변동,자본감소,삼보산업 주식회사 (정정)주주총회소집결의,삼보산업 주식회사 주권매매거래정지(자본감소)
20241007,11:44:31,,279600,미디어젠,D9,뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,미디어젠(주) 조회공시요구(풍문또는보도)(전·현 대표이사의 횡령·배임혐의설),미디어젠(주) 주권매매거래정지(풍문 또는 보도 관련)
20241008,14:47:26,,033790,피노,D3,뉴스형(즉시조치),대형계약,단일판매공급계약,(주)피노 단일판매ㆍ공급계약체결,(주)피노 주권매매거래정지(단일판매공급계약)
20241008,17:13:19,Y,192250,케이사인,D5,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)케이사인 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241008,17:43:48,Y,032800,판타지오,D8,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)판타지오 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241011,16:33:56,Y,080720,한국유니온제약,D9,뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상 (사유발생,한국유니온제약 주식회사 횡령ㆍ배임혐의발생,한국유니온제약 주식회사 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20241014,15:36:13,,187660,페니트리움바이오,D2,뉴스형(즉시조치),자본·조직변동,무상증자,현대에이디엠바이오(주) 무상증자결정,현대에이디엠바이오(주) 주권매매거래정지(무상증자)
20241015,16:17:31,Y,092730,네오팜,D6,뉴스형(즉시조치),자본·조직변동,무상증자,(주)네오팜 무상증자결정,(주)네오팜 주권매매거래정지(무상증자)
20241015,18:34:23,Y,373200,엑스플러스,D5,뉴스형(즉시조치),부실·위험,불성실공시법인 지정,,(주)엑스플러스 주권매매거래정지(불성실공시법인 지정)
20241016,17:55:05,Y,287410,(상장폐지),D1,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)제이시스메디칼 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241018,11:31:18,,457390,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,대신밸런스제15호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),대신밸런스제15호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241018,15:41:09,Y,061970,LB세미콘,D4,뉴스형(즉시조치),자본·조직변동,합병,엘비세미콘(주) 회사합병 결정,엘비세미콘(주) 주권매매거래정지(합병)
20241018,15:41:13,Y,376190,(상장폐지),D7,뉴스형(즉시조치),자본·조직변동,합병,주식회사 엘비루셈 회사합병 결정,주식회사 엘비루셈 주권매매거래정지(합병)
20241018,16:31:19,Y,065170,비엘팜텍,D7,뉴스형(즉시조치),자본·조직변동,자본감소,(주)비엘팜텍 주주총회소집결의(임시주주총회),(주)비엘팜텍 주권매매거래정지(자본감소)
20241021,15:03:13,,088800,에이스테크,D4,뉴스형(즉시조치),자본·조직변동,우회상장여부 및 요건충족확인,(주)에이스테크놀로지 회사합병 결정,(주)에이스테크놀로지 주권매매거래정지(우회상장여부 및 요건충족확인)
20241022,16:29:31,Y,421800,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,교보12호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20241022,18:03:27,Y,023460,(상장폐지),D9,뉴스형(즉시조치),부실·위험,불성실공시법인 지정,,씨앤에이치(주) 주권매매거래정지(불성실공시법인 지정)
20241023,10:46:10,,088130,동아엘텍,D5,뉴스형(즉시조치),자본·조직변동,무상증자,(주)동아엘텍 무상증자결정,(주)동아엘텍 주권매매거래정지(무상증자)
20241023,15:02:24,,264450,유비쿼스,D7,뉴스형(즉시조치),자본·조직변동,무상증자,(주)유비쿼스 무상증자결정,(주)유비쿼스 주권매매거래정지(무상증자)
20241023,15:41:23,Y,468510,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,삼성기업인수목적9호(주) 회사합병 결정(SPAC 소멸합병),삼성기업인수목적9호(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241023,16:04:10,Y,067290,JW신약,D4,뉴스형(즉시조치),부실·위험,중요한 영업정지,제이더블유신약(주) 영업정지,제이더블유신약(주) 주권매매거래정지(중요한 영업정지)
20241023,16:59:12,Y,456440,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,디비금융제11호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),디비금융제11호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241024,16:20:37,Y,438220,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,대신밸런스제13호기업인수목적(주) 주권매매거래정지(SPAC 소멸합병)
20241025,16:08:09,Y,418210,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,신한제10호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),신한제10호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241025,16:13:09,Y,223310,사토시홀딩스,D7,뉴스형(즉시조치),부실·위험,중요한 영업정지,딥마인드플랫폼(주) 영업정지,딥마인드플랫폼(주) 주권매매거래정지(중요한 영업정지)
20241025,17:07:01,Y,036930,주성엔지니어링,D1,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"주성엔지니어링(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241028,17:36:03,Y,025440,DH오토웨어,D9,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)디에이치오토웨어 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241030,15:17:24,,177350,베셀,D4,뉴스형(즉시조치),자본·조직변동,자본감소,(주)베셀 주주명부폐쇄기간 또는 기준일 설정,(주)베셀 주권매매거래정지(자본감소)
20241030,16:54:57,Y,023460,(상장폐지),D9,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"씨앤에이치(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241031,16:08:26,Y,476470,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,케이비제28호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),케이비제28호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241101,17:05:23,Y,138580,(상장폐지),D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)비즈니스온커뮤니케이션 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241104,14:18:09,,226440,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,(주)한송네오텍 (정정)상장폐지,(주)한송네오텍 주권매매거래정지(투자자 보호)
20241105,18:03:35,Y,030350,드래곤플라이,D7,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)드래곤플라이 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241105,18:22:11,Y,348370,엔켐,D1,뉴스형(즉시조치),부실·위험,불성실공시법인 지정,(주)엔켐 불성실공시법인지정(공시불이행 10건),(주)엔켐 주권매매거래정지(불성실공시법인 지정)
20241106,16:42:45,Y,900300,오가닉티코스메틱,(유니버스 밖),집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"오가닉티코스메틱스홀딩스컴퍼니리미티드 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241106,17:56:14,Y,227100,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,파산신청(발행 ELW 포함,(주)퀀텀온 파산신청,(주)퀀텀온 주권매매거래정지(파산신청(발행 ELW 포함))
20241107,15:49:02,Y,458320,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,케이비제26호기업인수목적(주) 회사합병 결정(SPAC 소멸합병),케이비제26호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241108,10:19:58,,038390,레드캡투어,D8,뉴스형(즉시조치),자본·조직변동,무상증자,(주)레드캡투어 주식소각 결정,(주)레드캡투어 주권매매거래정지(무상증자)
20241111,16:15:13,Y,210120,캔버스엔,D5,뉴스형(즉시조치),자본·조직변동,무상증자,(주)빅토리콘텐츠 주주명부폐쇄기간 또는 기준일 설정,(주)빅토리콘텐츠 주권매매거래정지(무상증자)
20241114,18:43:41,Y,439730,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,아이비케이에스제20호기업인수목적 주식회사 회사합병 결정,아이비케이에스제20호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241115,17:46:33,Y,009620,삼보산업,D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"삼보산업 주식회사 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241119,17:55:52,Y,060240,스타코링크,D10,뉴스형(즉시조치),부실·위험,불성실공시법인 지정,(주)스타코링크 불성실공시법인지정(공시불이행 2건),(주)스타코링크 주권매매거래정지(불성실공시법인 지정)
20241119,17:56:20,Y,430460,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,한화플러스제3호기업인수목적(주) 주권매매거래정지(SPAC 소멸합병)
20241119,18:08:30,Y,066790,씨씨에스,D1,뉴스형(즉시조치),부실·위험,불성실공시법인 지정,"(주)씨씨에스충북방송 불성실공시법인지정(공시번복 1건, 공시불이행 1건)",(주)씨씨에스충북방송 주권매매거래정지(불성실공시법인 지정)
20241120,16:38:24,Y,051780,큐로홀딩스,D8,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)큐로홀딩스 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241121,18:20:26,Y,415580,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장폐지 사유발생,상상인제3호기업인수목적 주식회사 상장폐지,상상인제3호기업인수목적 주식회사 주권매매거래정지(상장폐지 사유발생)
20241122,16:06:16,Y,043090,더테크놀로지,D8,뉴스형(즉시조치),자본·조직변동,자본감소,(주)더 테크놀로지 주주총회소집결의(임시주주총회),(주)더 테크놀로지 주권매매거래정지(자본감소)
20241125,16:34:29,Y,080000,(상장폐지),D8,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"에스엔유프리시젼(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241126,14:11:10,,457630,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,대신밸런스제16호기업인수목적(주) 회사합병 결정(SPAC소멸합병),대신밸런스제16호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241127,11:45:22,,290520,신도기연,D9,뉴스형(즉시조치),대형계약,단일판매공급계약,(주)신도기연 단일판매ㆍ공급계약체결,(주)신도기연 주권매매거래정지(단일판매공급계약)
20241127,16:34:39,Y,084180,수성웹툰,D8,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"수성웹툰 주식회사 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241127,16:49:08,Y,418170,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,하나금융22호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20241129,16:19:13,Y,123840,뉴온,(유니버스 밖),집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)뉴온 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241203,16:36:59,Y,406760,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,하나금융21호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20241203,17:28:13,Y,446840,지슨,D8,뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,키움제8호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),키움제8호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241204,15:36:20,,145170,노브랜드,D2,뉴스형(즉시조치),자본·조직변동,무상증자,(주)노브랜드 무상증자결정,(주)노브랜드 주권매매거래정지(무상증자)
20241204,17:37:31,Y,227100,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,불성실공시법인 지정,(주)퀀텀온 불성실공시법인지정(공시번복 2건),(주)퀀텀온 주권매매거래정지(불성실공시법인 지정)
20241204,17:53:49,Y,060560,HC홈센타,D10,뉴스형(즉시조치),부실·위험,불성실공시법인 지정,(주)홈센타홀딩스 불성실공시법인지정(공시번복 3건),(주)홈센타홀딩스 주권매매거래정지(불성실공시법인 지정)
20241205,14:11:09,,334970,프레스티지바이오로직스,D7,뉴스형(즉시조치),대형계약,단일판매공급계약,프레스티지바이오로직스(주) 단일판매ㆍ공급계약체결,프레스티지바이오로직스(주) 주권매매거래정지(단일판매공급계약)
20241205,16:53:43,Y,200230,텔콘RF제약,D6,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)텔콘알에프제약 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241209,16:16:28,Y,065170,비엘팜텍,D7,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",(주)비엘팜텍 (정정)감자결정,"(주)비엘팜텍 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241210,10:36:15,,216080,제테마,D6,뉴스형(즉시조치),자본·조직변동,무상증자,(주)제테마 무상증자결정,(주)제테마 주권매매거래정지(무상증자)
20241217,17:05:06,Y,177350,베셀,D4,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)베셀 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241217,17:45:21,Y,446190,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,미래에셋비전기업인수목적2호 주식회사 회사합병 결정(SPAC소멸합병),미래에셋비전기업인수목적2호 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241218,15:36:50,,256940,킵스파마,D5,뉴스형(즉시조치),자본·조직변동,우회상장여부 및 요건충족확인,(주)케이피에스 주식교환ㆍ이전 결정,(주)케이피에스 주권매매거래정지(우회상장여부 및 요건충족확인)
20241219,17:00:04,Y,060560,HC홈센타,D10,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)홈센타홀딩스 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241219,17:58:56,Y,054180,메디콕스,(유니버스 밖),뉴스형(즉시조치),부실·위험,불성실공시법인 지정,(주)메디콕스 불성실공시법인지정(공시변경 4건),(주)메디콕스 주권매매거래정지(불성실공시법인 지정)
20241224,16:31:05,Y,052300,오션인더블유,D10,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)오션인더블유 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241224,17:51:47,Y,412930,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,미래에셋비전기업인수목적1호 주식회사 주권매매거래정지(SPAC 소멸합병)
20241230,16:31:32,Y,246960,SCL사이언스,D9,뉴스형(즉시조치),자본·조직변동,우회상장여부 및 요건충족확인,(주)에스씨엘사이언스 주식교환ㆍ이전 결정,(주)에스씨엘사이언스 주권매매거래정지(우회상장여부 및 요건충족확인)
20241230,16:39:04,Y,355390,크라우드웍스,D4,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"주식회사 크라우드웍스 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241230,16:39:10,Y,210120,캔버스엔,D5,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)빅토리콘텐츠 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20250102,16:38:15,Y,036630,세종텔레콤,D7,뉴스형(즉시조치),자본·조직변동,자본감소,세종텔레콤(주) 감자결정,세종텔레콤(주) 주권매매거래정지(자본감소)
20250103,11:08:22,,033790,피노,D3,뉴스형(즉시조치),대형계약,단일판매공급계약,(주)피노 단일판매ㆍ공급계약체결,(주)피노 주권매매거래정지(단일판매공급계약)
20250106,18:03:50,Y,227100,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상 (사유발생,(주)퀀텀온 불성실공시법인지정(공시변경 2건),(주)퀀텀온 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20250107,11:04:27,,381620,제닉스로보틱스,D2,뉴스형(즉시조치),자본·조직변동,무상증자,제닉스(주) 무상증자결정,제닉스(주) 주권매매거래정지(무상증자)
20250108,17:57:13,Y,226340,본느,D4,뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)본느 조회공시요구(풍문또는보도)(회계처리기준 위반),(주)본느 주권매매거래정지(풍문 또는 보도 관련)
20250113,11:29:10,,017510,세명전기,D2,뉴스형(즉시조치),대형계약,단일판매공급계약,세명전기공업(주) 단일판매ㆍ공급계약체결,세명전기공업(주) 주권매매거래정지(단일판매공급계약)
20250114,17:31:34,Y,043090,더테크놀로지,D8,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)더 테크놀로지 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20250116,17:27:23,Y,197140,디지캡,D10,뉴스형(즉시조치),자본·조직변동,영업양수도,(주)디지캡 영업양수 결정,(주)디지캡 주권매매거래정지(영업양수도)
20250116,18:04:47,Y,424140,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장폐지 사유발생,케이비제21호기업인수목적 주식회사 상장폐지,케이비제21호기업인수목적 주식회사 주권매매거래정지(상장폐지 사유발생)
20250117,14:56:10,,019010,베뉴지,D9,뉴스형(즉시조치),부실·위험,중요한 영업정지,베뉴지(주) 영업정지,베뉴지(주) 주권매매거래정지(중요한 영업정지)
20250117,17:24:29,Y,067310,하나마이크론,D1,뉴스형(즉시조치),자본·조직변동,분할,하나마이크론(주) 회사분할 결정(인적분할),하나마이크론(주) 주권매매거래정지(분할)
20250117,18:22:52,Y,078860,아이오케이이엔엠,D7,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)엔에스이엔엠 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20250121,17:38:08,Y,376190,(상장폐지),D7,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"주식회사 엘비루셈 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20250122,17:56:46,Y,044060,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,조광아이엘아이(주) 기타시장안내(정리매매 보류 관련),조광아이엘아이(주) 주권매매거래정지(투자자 보호)
20250122,18:09:41,Y,422040,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장폐지 사유발생,엔에이치기업인수목적23호 주식회사 상장폐지,엔에이치기업인수목적23호 주식회사 주권매매거래정지(상장폐지 사유발생)
20250122,18:58:22,Y,203690,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)아크솔루션스 조회공시요구(풍문또는보도)(회계처리기준 위반),(주)아크솔루션스 주권매매거래정지(풍문 또는 보도 관련)
20250122,19:30:56,Y,290380,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,(주)대유 기타시장안내(정리매매 보류 관련),(주)대유 주권매매거래정지(투자자 보호)
20250123,08:29:25,,430220,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC합병(예비심사청구대상,신영해피투모로우제8호기업인수목적 주식회사 회사합병 결정(SPAC소멸합병),신영해피투모로우제8호기업인수목적 주식회사 주권매매거래정지(SPAC합병(예비심사청구대상)
20250123,14:49:17,,060240,스타코링크,D10,뉴스형(즉시조치),자본·조직변동,자본감소,(주)스타코링크 (정정)주주총회소집결의(임시주주총회),(주)스타코링크 주권매매거래정지(자본감소)
20250123,18:04:40,Y,234920,자이글,D5,뉴스형(즉시조치),부실·위험,불성실공시법인 지정,자이글(주) 불성실공시법인지정(공시번복 2건),자이글(주) 주권매매거래정지(불성실공시법인 지정)
20250123,18:08:14,Y,425290,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,상장폐지 사유발생,삼성기업인수목적6호 주식회사 상장폐지,삼성기업인수목적6호 주식회사 주권매매거래정지(상장폐지 사유발생)
20250203,17:24:15,Y,413600,(상장폐지),(유니버스 밖),집행형(부담 낮음),자본·조직변동,SPAC 소멸합병,,키움제6호기업인수목적 주식회사 주권매매거래정지(SPAC 소멸합병)
20250203,18:08:03,Y,060230,제이케이시냅스,D6,뉴스형(즉시조치),부실·위험,불성실공시법인 지정,,소니드(주) 주권매매거래정지(불성실공시법인 지정)
20250204,16:42:20,Y,196300,HLB펩,D7,뉴스형(즉시조치),부실·위험,관리종목지정우려,애니젠(주) 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,애니젠(주) 주권매매거래정지(관리종목지정우려)
20250207,11:36:20,,049520,유아이엘,D8,뉴스형(즉시조치),자본·조직변동,무상증자,유아이엘(주) 무상증자결정,유아이엘(주) 주권매매거래정지(무상증자)
20250207,16:51:38,Y,455310,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,한화플러스제4호기업인수목적(주) 회사합병 결정(SPAC 소멸합병),한화플러스제4호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20250210,16:54:13,Y,060240,스타코링크,D10,뉴스형(즉시조치),부실·위험,관리종목지정우려,(주)스타코링크 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)스타코링크 주권매매거래정지(관리종목지정우려)
20250210,17:46:35,Y,352770,셀레스트라,D6,뉴스형(즉시조치),자본·조직변동,자본감소,주식회사 클리노믹스 (정정)주주총회소집결의,주식회사 클리노믹스 주권매매거래정지(자본감소)
20250211,15:36:49,,014200,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자 보호,(주)광림 기타시장안내(정리매매 보류 관련),(주)광림 주권매매거래정지(투자자 보호)
20250211,16:01:30,Y,065570,삼영이엔씨,D8,뉴스형(즉시조치),부실·위험,상장적격성 실질심사 대상(사유발생,삼영이엔씨(주) 횡령ㆍ배임혐의발생,삼영이엔씨(주) 주권매매거래정지(상장적격성 실질심사 대상(사유발생))
