code,amihud,intraday,ext15,vol,decile,충격_5천만원_pct,충격_1억원_pct
017000,0.7264,5.0189,0.9934,3.7217,D8,0.3632,0.7264
017250,1.9906,2.6082,0.0,1.5388,D10,0.9953,1.9906
017480,0.807,2.0104,0.0,1.2982,D10,0.4035,0.807
017510,0.0575,6.3128,2.1488,5.009,D2,0.0287,0.0575
017650,0.9239,2.2383,0.0,1.2347,D10,0.4619,0.9239
017890,0.1871,2.5168,0.0,1.8244,D8,0.0935,0.1871
018000,0.1459,6.0944,2.1488,4.9339,D4,0.0729,0.1459
018120,1.0167,1.4225,0.0,0.8261,D10,0.5083,1.0167
018290,0.0122,5.4796,0.8264,4.1415,D1,0.0061,0.0122
018310,0.3334,3.4082,0.6612,3.0156,D8,0.1667,0.3334
018620,1.5193,2.8085,0.0,1.7137,D10,0.7596,1.5193
018680,2.1939,3.7939,0.4959,2.8829,D9,1.0969,2.1939
018700,1.4485,4.2126,0.6826,3.3377,D10,0.7242,1.4485
019010,0.7022,3.6581,0.6612,2.792,D9,0.3511,0.7022
019210,0.142,3.8499,0.6612,3.3304,D4,0.071,0.142
019540,0.5341,4.2752,0.3306,2.9108,D7,0.2671,0.5341
019550,0.2941,3.8233,0.1712,2.7766,D7,0.1471,0.2941
019570,1.1838,7.0339,3.1933,5.8485,D8,0.5919,1.1838
019660,2.0195,7.4446,2.2184,5.168,D10,1.0098,2.0195
019770,0.6348,3.0277,0.0,1.8256,D9,0.3174,0.6348
019990,0.2101,5.7571,1.157,4.1486,D3,0.1051,0.2101
020180,0.2879,3.8808,0.8264,3.1913,D6,0.144,0.2879
020400,1.0313,4.3867,1.4876,4.0189,D7,0.5157,1.0313
020710,0.2068,3.5632,1.6556,4.0033,D5,0.1034,0.2068
021040,2.1928,4.7714,1.8803,4.3361,D8,1.0964,2.1928
021080,0.2171,4.1127,0.1653,2.944,D6,0.1086,0.2171
021320,1.2883,3.6055,0.0,2.3487,D10,0.6441,1.2883
021650,1.9231,2.3461,0.0,1.4454,D10,0.9615,1.9231
021880,0.8768,5.5504,2.0443,4.7227,D7,0.4384,0.8768
022220,0.8884,3.0014,0.3306,2.4193,D9,0.4442,0.8884
023160,0.0307,5.5023,0.3306,4.0098,D2,0.0153,0.0307
023410,0.1232,2.5135,0.0,1.8055,D6,0.0616,0.1232
023440,0.3129,6.1133,1.1152,4.227,D7,0.1565,0.3129
023460,1.2729,8.0719,8.134,9.5423,D9,0.6364,1.2729
023600,0.4539,2.2237,0.0,1.403,D10,0.227,0.4539
023760,0.569,2.3093,0.0,1.8813,D10,0.2845,0.569
023770,0.9071,5.1726,0.9917,3.6534,D9,0.4536,0.9071
023790,1.3911,7.5224,2.8961,5.6924,D5,0.6955,1.3911
023900,0.3689,2.596,0.0,1.5611,D7,0.1844,0.3689
023910,0.206,1.9439,0.0,1.1763,D9,0.103,0.206
024060,0.019,5.9583,3.4711,5.6786,D1,0.0095,0.019
024120,0.7915,3.2308,0.0,1.7598,D9,0.3958,0.7915
024740,0.0965,4.4229,1.4876,3.9713,D3,0.0483,0.0965
024800,1.1084,3.5162,0.4959,2.6313,D10,0.5542,1.1084
024830,1.5781,4.3887,1.157,3.72,D9,0.7891,1.5781
024840,0.0993,6.1135,3.3113,5.7232,D2,0.0496,0.0993
024850,0.1261,6.5461,1.7065,4.8122,D4,0.0631,0.1261
024880,0.2545,3.5872,0.1653,2.6116,D7,0.1272,0.2545
024910,0.374,4.3536,0.8264,3.4171,D5,0.187,0.374
024940,0.2428,5.1662,1.3223,4.4316,D4,0.1214,0.2428
024950,0.543,3.4865,0.5556,2.8302,D8,0.2715,0.543
025320,0.0269,4.9966,1.4876,4.2085,D1,0.0134,0.0269
025440,1.2226,5.2128,1.0638,3.9397,D9,0.6113,1.2226
025550,0.1869,4.5543,1.4876,3.925,D4,0.0935,0.1869
025770,0.4778,2.9788,0.4959,2.8783,D8,0.2389,0.4778
025870,1.4003,3.7863,0.3306,2.8016,D10,0.7002,1.4003
025880,0.3886,3.2102,0.1653,2.2439,D7,0.1943,0.3886
025900,0.1253,5.1377,1.1844,4.1636,D4,0.0627,0.1253
