decile,종목수,일평균거래대금_억,중간_일평균_억,무거래일_pct,중간시총_억,거래대금점유_pct
D1,169,340.906,231.131,0.0,5535.13,53.85
D2,168,101.164,100.373,0.0,2051.708,17.954
D3,168,57.576,55.592,0.0,1354.839,10.547
D4,168,34.594,34.257,0.0,867.353,6.522
D5,169,22.461,22.69,0.0,741.576,4.309
D6,168,15.155,15.033,0.0,626.54,2.823
D7,168,9.873,9.718,0.0,564.378,1.82
D8,168,6.372,6.38,0.0,432.871,1.198
D9,168,3.656,3.697,0.0,385.126,0.693
D10,169,1.448,1.492,0.0,335.59,0.282
