공시일,종목코드,종목명,사유성격,정지사유,시차_분,동반공시_원문,동반공시_유형,정지공시_원문
20240909,038340,(상장폐지),부실·위험,투자자 보호,0,(주)무궁화인포메이션테크놀로지 기타시장안내(정리매매 보류 관련),기타시장안내,(주)무궁화인포메이션테크놀로지 주권매매거래정지(투자자 보호)
20240909,038340,(상장폐지),부실·위험,투자자 보호,0,(주)무궁화인포메이션테크놀로지 (정정)상장폐지,(정정)상장폐지,(주)무궁화인포메이션테크놀로지 주권매매거래정지(투자자 보호)
20240909,078940,(상장폐지),부실·위험,투자자 보호,0,퀀타피아(주) (정정)상장폐지,(정정)상장폐지,퀀타피아(주) 주권매매거래정지(투자자 보호)
20240910,101730,위메이드맥스,자본·조직변동,"주식교환, 이전",0,(주)위메이드맥스 주식교환ㆍ이전 결정,주식교환ㆍ이전 결정,"(주)위메이드맥스 주권매매거래정지(주식교환, 이전)"
20240911,187870,디바이스,대형계약,단일판매공급계약,0,(주)디바이스이엔지 단일판매ㆍ공급계약체결,이엔지 단일판매ㆍ공급계약체결,(주)디바이스이엔지 주권매매거래정지(단일판매공급계약)
20240913,030350,드래곤플라이,자본·조직변동,자본감소,0,(주)드래곤플라이 주주총회소집결의(임시주주총회),주주총회소집결의,(주)드래곤플라이 주권매매거래정지(자본감소)
20240913,030350,드래곤플라이,자본·조직변동,자본감소,0,(주)드래곤플라이 감자결정,감자결정,(주)드래곤플라이 주권매매거래정지(자본감소)
20240919,317240,TS트릴리온,부실·위험,회생절차개시신청,0,(주)티에스트릴리온 관리종목지정(회생절차 개시신청),관리종목지정,(주)티에스트릴리온 주권매매거래정지(회생절차개시신청)
20240919,900290,GRT,자본·조직변동,주식배당,1,그레이트리치과기유한공사 주주명부폐쇄기간 또는 기준일 설정,주주명부폐쇄기간 또는 기준일 설정,그레이트리치과기유한공사 주권매매거래정지(주식배당)
20240919,900290,GRT,자본·조직변동,주식배당,1,그레이트리치과기유한공사 주주총회소집결의(임시주주총회),주주총회소집결의,그레이트리치과기유한공사 주권매매거래정지(주식배당)
20240919,900290,GRT,자본·조직변동,주식배당,0,그레이트리치과기유한공사 주식배당결정,주식배당결정,그레이트리치과기유한공사 주권매매거래정지(주식배당)
20240923,272110,케이엔제이,부실·위험,중요한 영업정지,0,(주)케이엔제이 영업정지,영업정지,(주)케이엔제이 주권매매거래정지(중요한 영업정지)
20240924,111870,(상장폐지),부실·위험,투자자 보호,1,케이에이치미래물산(주) (정정)상장폐지,(정정)상장폐지,케이에이치미래물산(주) 주권매매거래정지(투자자 보호)
20240924,111870,(상장폐지),부실·위험,투자자 보호,0,케이에이치미래물산(주) 기타시장안내(정리매매 보류 관련),기타시장안내,케이에이치미래물산(주) 주권매매거래정지(투자자 보호)
20240924,111870,(상장폐지),부실·위험,투자자 보호,0,케이에이치미래물산(주) 기타 경영사항(자율공시)(상장폐지결정 등 효력정지 가처분신청),기타 경영사항,케이에이치미래물산(주) 주권매매거래정지(투자자 보호)
20240924,174880,(상장폐지),부실·위험,투자자 보호,0,(주)장원테크 (정정)상장폐지,(정정)상장폐지,(주)장원테크 주권매매거래정지(투자자 보호)
20240924,174880,(상장폐지),부실·위험,투자자 보호,0,(주)장원테크 기타시장안내(정리매매 보류 관련),기타시장안내,(주)장원테크 주권매매거래정지(투자자 보호)
20240924,174880,(상장폐지),부실·위험,투자자 보호,0,(주)장원테크 기타 경영사항(자율공시)(상장폐지결정등 효력정지 가처분신청),기타 경영사항,(주)장원테크 주권매매거래정지(투자자 보호)
20240924,226360,(상장폐지),부실·위험,투자자 보호,0,케이에이치건설 주식회사 (정정)상장폐지,(정정)상장폐지,케이에이치건설 주식회사 주권매매거래정지(투자자 보호)
20240924,226360,(상장폐지),부실·위험,투자자 보호,0,케이에이치건설 주식회사 기타시장안내(정리매매 보류 관련),기타시장안내,케이에이치건설 주식회사 주권매매거래정지(투자자 보호)
20240924,226360,(상장폐지),부실·위험,투자자 보호,0,케이에이치건설 주식회사 기타 경영사항(자율공시)(상장폐지결정 효력정지 가처분신청),기타 경영사항,케이에이치건설 주식회사 주권매매거래정지(투자자 보호)
20240925,043090,더테크놀로지,자본·조직변동,자본감소,0,(주)더 테크놀로지 감자결정,테크놀로지 감자결정,(주)더 테크놀로지 주권매매거래정지(자본감소)
20240927,051780,큐로홀딩스,자본·조직변동,자본감소,0,(주)큐로홀딩스 감자결정,감자결정,(주)큐로홀딩스 주권매매거래정지(자본감소)
20240930,477530,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,한국제14호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,한국제14호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241002,066410,버킷스튜디오,부실·위험,투자자보호,0,(주)버킷스튜디오 (정정)상장폐지,(정정)상장폐지,(주)버킷스튜디오 주권매매거래정지(투자자보호)
20241002,066410,버킷스튜디오,부실·위험,투자자보호,0,(주)버킷스튜디오 기타시장안내(정리매매 보류 관련),기타시장안내,(주)버킷스튜디오 주권매매거래정지(투자자보호)
20241002,066410,버킷스튜디오,부실·위험,투자자보호,1,(주)버킷스튜디오 기타 경영사항(자율공시)(상장폐지효력정지 및 정리매매절차 중지에 대한 가처분 신청),기타 경영사항,(주)버킷스튜디오 주권매매거래정지(투자자보호)
20241002,121800,비덴트,부실·위험,투자자 보호,0,(주)비덴트 (정정)상장폐지,(정정)상장폐지,(주)비덴트 주권매매거래정지(투자자 보호)
20241002,214870,(상장폐지),부실·위험,투자자 보호,0,뉴지랩파마(주) (정정)상장폐지,(정정)상장폐지,뉴지랩파마(주) 주권매매거래정지(투자자 보호)
20241002,214870,(상장폐지),부실·위험,투자자 보호,0,뉴지랩파마(주) 기타시장안내(정리매매 보류 관련),기타시장안내,뉴지랩파마(주) 주권매매거래정지(투자자 보호)
20241002,214870,(상장폐지),부실·위험,투자자 보호,1,뉴지랩파마(주) 기타 경영사항(자율공시)(상장폐지결정효력정지 가처분),기타 경영사항,뉴지랩파마(주) 주권매매거래정지(투자자 보호)
20241002,437730,삼현,자본·조직변동,무상증자,0,(주)삼현 무상증자결정,무상증자결정,(주)삼현 주권매매거래정지(무상증자)
20241004,009620,삼보산업,자본·조직변동,자본감소,0,삼보산업 주식회사 (정정)주주총회소집결의,(정정)주주총회소집결의,삼보산업 주식회사 주권매매거래정지(자본감소)
20241004,009620,삼보산업,자본·조직변동,자본감소,0,삼보산업 주식회사 감자결정,감자결정,삼보산업 주식회사 주권매매거래정지(자본감소)
20241007,279600,미디어젠,부실·위험,풍문 또는 보도 관련,0,미디어젠(주) 조회공시요구(풍문또는보도)(전·현 대표이사의 횡령·배임혐의설),조회공시요구,미디어젠(주) 주권매매거래정지(풍문 또는 보도 관련)
20241008,033790,피노,대형계약,단일판매공급계약,0,(주)피노 단일판매ㆍ공급계약체결,단일판매ㆍ공급계약체결,(주)피노 주권매매거래정지(단일판매공급계약)
20241011,080720,한국유니온제약,부실·위험,상장적격성 실질심사 대상 (사유발생,1,한국유니온제약 주식회사 횡령ㆍ배임혐의발생,횡령ㆍ배임혐의발생,한국유니온제약 주식회사 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20241014,187660,페니트리움바이오,자본·조직변동,무상증자,0,현대에이디엠바이오(주) 무상증자결정,무상증자결정,현대에이디엠바이오(주) 주권매매거래정지(무상증자)
20241015,092730,네오팜,자본·조직변동,무상증자,0,(주)네오팜 무상증자결정,무상증자결정,(주)네오팜 주권매매거래정지(무상증자)
20241018,061970,LB세미콘,자본·조직변동,합병,0,엘비세미콘(주) 회사합병 결정,회사합병 결정,엘비세미콘(주) 주권매매거래정지(합병)
20241018,065170,비엘팜텍,자본·조직변동,자본감소,0,(주)비엘팜텍 주주총회소집결의(임시주주총회),주주총회소집결의,(주)비엘팜텍 주권매매거래정지(자본감소)
20241018,065170,비엘팜텍,자본·조직변동,자본감소,0,(주)비엘팜텍 감자결정,감자결정,(주)비엘팜텍 주권매매거래정지(자본감소)
20241018,376190,(상장폐지),자본·조직변동,합병,0,주식회사 엘비루셈 회사합병 결정,회사합병 결정,주식회사 엘비루셈 주권매매거래정지(합병)
20241018,457390,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,대신밸런스제15호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,대신밸런스제15호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241021,088800,에이스테크,자본·조직변동,우회상장여부 및 요건충족확인,0,(주)에이스테크놀로지 회사합병 결정,놀로지 회사합병 결정,(주)에이스테크놀로지 주권매매거래정지(우회상장여부 및 요건충족확인)
20241023,067290,JW신약,부실·위험,중요한 영업정지,0,제이더블유신약(주) 영업정지,영업정지,제이더블유신약(주) 주권매매거래정지(중요한 영업정지)
20241023,088130,동아엘텍,자본·조직변동,무상증자,0,(주)동아엘텍 무상증자결정,무상증자결정,(주)동아엘텍 주권매매거래정지(무상증자)
20241023,264450,유비쿼스,자본·조직변동,무상증자,0,(주)유비쿼스 무상증자결정,무상증자결정,(주)유비쿼스 주권매매거래정지(무상증자)
20241023,456440,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,디비금융제11호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,디비금융제11호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241023,468510,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,삼성기업인수목적9호(주) 회사합병 결정(SPAC 소멸합병),회사합병 결정,삼성기업인수목적9호(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241025,223310,사토시홀딩스,부실·위험,중요한 영업정지,0,딥마인드플랫폼(주) 영업정지,영업정지,딥마인드플랫폼(주) 주권매매거래정지(중요한 영업정지)
20241025,418210,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,신한제10호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,신한제10호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241030,177350,베셀,자본·조직변동,자본감소,0,(주)베셀 주주명부폐쇄기간 또는 기준일 설정,주주명부폐쇄기간 또는 기준일 설정,(주)베셀 주권매매거래정지(자본감소)
20241030,177350,베셀,자본·조직변동,자본감소,0,(주)베셀 주주총회소집결의,주주총회소집결의,(주)베셀 주권매매거래정지(자본감소)
20241030,177350,베셀,자본·조직변동,자본감소,0,(주)베셀 감자결정,감자결정,(주)베셀 주권매매거래정지(자본감소)
20241031,476470,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,케이비제28호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,케이비제28호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241104,226440,(상장폐지),부실·위험,투자자 보호,0,(주)한송네오텍 (정정)상장폐지,(정정)상장폐지,(주)한송네오텍 주권매매거래정지(투자자 보호)
20241104,226440,(상장폐지),부실·위험,투자자 보호,0,(주)한송네오텍 기타시장안내(정리매매 보류 관련),기타시장안내,(주)한송네오텍 주권매매거래정지(투자자 보호)
20241104,226440,(상장폐지),부실·위험,투자자 보호,1,(주)한송네오텍 기타 경영사항(자율공시)(상장폐지결정등효력정지 가처분 신청),기타 경영사항,(주)한송네오텍 주권매매거래정지(투자자 보호)
20241105,348370,엔켐,부실·위험,불성실공시법인 지정,0,(주)엔켐 불성실공시법인지정(공시불이행 10건),불성실공시법인지정,(주)엔켐 주권매매거래정지(불성실공시법인 지정)
20241106,227100,(상장폐지),부실·위험,파산신청(발행 ELW 포함,0,(주)퀀텀온 파산신청,파산신청,(주)퀀텀온 주권매매거래정지(파산신청(발행 ELW 포함))
20241106,227100,(상장폐지),부실·위험,파산신청(발행 ELW 포함,0,(주)퀀텀온 관리종목지정(파산신청),관리종목지정,(주)퀀텀온 주권매매거래정지(파산신청(발행 ELW 포함))
20241107,458320,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,케이비제26호기업인수목적(주) 회사합병 결정(SPAC 소멸합병),회사합병 결정,케이비제26호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241108,038390,레드캡투어,자본·조직변동,무상증자,1,(주)레드캡투어 무상증자결정,무상증자결정,(주)레드캡투어 주권매매거래정지(무상증자)
20241108,038390,레드캡투어,자본·조직변동,무상증자,0,(주)레드캡투어 주식소각 결정,주식소각 결정,(주)레드캡투어 주권매매거래정지(무상증자)
20241111,210120,캔버스엔,자본·조직변동,무상증자,0,(주)빅토리콘텐츠 주주명부폐쇄기간 또는 기준일 설정,주주명부폐쇄기간 또는 기준일 설정,(주)빅토리콘텐츠 주권매매거래정지(무상증자)
20241111,210120,캔버스엔,자본·조직변동,무상증자,0,(주)빅토리콘텐츠 주주총회소집결의,주주총회소집결의,(주)빅토리콘텐츠 주권매매거래정지(무상증자)
20241111,210120,캔버스엔,자본·조직변동,무상증자,0,(주)빅토리콘텐츠 주식분할결정,주식분할결정,(주)빅토리콘텐츠 주권매매거래정지(무상증자)
20241111,210120,캔버스엔,자본·조직변동,무상증자,0,(주)빅토리콘텐츠 무상증자결정,무상증자결정,(주)빅토리콘텐츠 주권매매거래정지(무상증자)
20241114,439730,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,아이비케이에스제20호기업인수목적 주식회사 회사합병 결정,회사합병 결정,아이비케이에스제20호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241119,060240,스타코링크,부실·위험,불성실공시법인 지정,1,(주)스타코링크 불성실공시법인지정(공시불이행 2건),불성실공시법인지정,(주)스타코링크 주권매매거래정지(불성실공시법인 지정)
20241119,066790,씨씨에스,부실·위험,불성실공시법인 지정,0,"(주)씨씨에스충북방송 불성실공시법인지정(공시번복 1건, 공시불이행 1건)",충북방송 불성실공시법인지정,(주)씨씨에스충북방송 주권매매거래정지(불성실공시법인 지정)
20241121,415580,(상장폐지),부실·위험,상장폐지 사유발생,1,상상인제3호기업인수목적 주식회사 상장폐지,제3호기업인수목적 상장폐지,상상인제3호기업인수목적 주식회사 주권매매거래정지(상장폐지 사유발생)
20241122,043090,더테크놀로지,자본·조직변동,자본감소,1,(주)더 테크놀로지 주주명부폐쇄기간 또는 기준일 설정,테크놀로지 주주명부폐쇄기간 또는 기준일 설정,(주)더 테크놀로지 주권매매거래정지(자본감소)
20241122,043090,더테크놀로지,자본·조직변동,자본감소,0,(주)더 테크놀로지 주주총회소집결의(임시주주총회),테크놀로지 주주총회소집결의,(주)더 테크놀로지 주권매매거래정지(자본감소)
20241122,043090,더테크놀로지,자본·조직변동,자본감소,0,(주)더 테크놀로지 감자결정,테크놀로지 감자결정,(주)더 테크놀로지 주권매매거래정지(자본감소)
20241126,457630,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,대신밸런스제16호기업인수목적(주) 회사합병 결정(SPAC소멸합병),회사합병 결정,대신밸런스제16호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241127,290520,신도기연,대형계약,단일판매공급계약,0,(주)신도기연 단일판매ㆍ공급계약체결,단일판매ㆍ공급계약체결,(주)신도기연 주권매매거래정지(단일판매공급계약)
20241203,446840,지슨,자본·조직변동,SPAC 합병(예비심사청구대상,0,키움제8호기업인수목적 주식회사 회사합병 결정(SPAC 소멸합병),회사합병 결정,키움제8호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241204,060560,HC홈센타,부실·위험,불성실공시법인 지정,0,(주)홈센타홀딩스 불성실공시법인지정(공시번복 3건),불성실공시법인지정,(주)홈센타홀딩스 주권매매거래정지(불성실공시법인 지정)
20241204,145170,노브랜드,자본·조직변동,무상증자,0,(주)노브랜드 무상증자결정,무상증자결정,(주)노브랜드 주권매매거래정지(무상증자)
20241204,227100,(상장폐지),부실·위험,불성실공시법인 지정,0,(주)퀀텀온 불성실공시법인지정(공시번복 2건),불성실공시법인지정,(주)퀀텀온 주권매매거래정지(불성실공시법인 지정)
20241205,334970,프레스티지바이오로직스,대형계약,단일판매공급계약,0,프레스티지바이오로직스(주) 단일판매ㆍ공급계약체결,단일판매ㆍ공급계약체결,프레스티지바이오로직스(주) 주권매매거래정지(단일판매공급계약)
20241209,065170,비엘팜텍,자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",1,(주)비엘팜텍 (정정)감자결정,(정정)감자결정,"(주)비엘팜텍 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20241210,216080,제테마,자본·조직변동,무상증자,0,(주)제테마 무상증자결정,무상증자결정,(주)제테마 주권매매거래정지(무상증자)
20241217,446190,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,미래에셋비전기업인수목적2호 주식회사 회사합병 결정(SPAC소멸합병),회사합병 결정,미래에셋비전기업인수목적2호 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20241218,256940,킵스파마,자본·조직변동,우회상장여부 및 요건충족확인,0,(주)케이피에스 주식교환ㆍ이전 결정,주식교환ㆍ이전 결정,(주)케이피에스 주권매매거래정지(우회상장여부 및 요건충족확인)
20241219,054180,메디콕스,부실·위험,불성실공시법인 지정,0,(주)메디콕스 불성실공시법인지정(공시변경 4건),불성실공시법인지정,(주)메디콕스 주권매매거래정지(불성실공시법인 지정)
20241230,246960,SCL사이언스,자본·조직변동,우회상장여부 및 요건충족확인,0,(주)에스씨엘사이언스 주식교환ㆍ이전 결정,주식교환ㆍ이전 결정,(주)에스씨엘사이언스 주권매매거래정지(우회상장여부 및 요건충족확인)
20250102,036630,세종텔레콤,자본·조직변동,자본감소,0,세종텔레콤(주) 감자결정,감자결정,세종텔레콤(주) 주권매매거래정지(자본감소)
20250103,033790,피노,대형계약,단일판매공급계약,0,(주)피노 단일판매ㆍ공급계약체결,단일판매ㆍ공급계약체결,(주)피노 주권매매거래정지(단일판매공급계약)
20250106,227100,(상장폐지),부실·위험,상장적격성 실질심사 대상 (사유발생,1,(주)퀀텀온 기타시장안내(상장적격성 실질심사관련 안내),기타시장안내,(주)퀀텀온 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20250106,227100,(상장폐지),부실·위험,상장적격성 실질심사 대상 (사유발생,0,(주)퀀텀온 불성실공시법인지정(공시변경 2건),불성실공시법인지정,(주)퀀텀온 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20250107,381620,제닉스로보틱스,자본·조직변동,무상증자,0,제닉스(주) 무상증자결정,스 무상증자결정,제닉스(주) 주권매매거래정지(무상증자)
20250108,226340,본느,부실·위험,풍문 또는 보도 관련,0,(주)본느 조회공시요구(풍문또는보도)(회계처리기준 위반),조회공시요구,(주)본느 주권매매거래정지(풍문 또는 보도 관련)
20250113,017510,세명전기,대형계약,단일판매공급계약,0,세명전기공업(주) 단일판매ㆍ공급계약체결,공업 단일판매ㆍ공급계약체결,세명전기공업(주) 주권매매거래정지(단일판매공급계약)
20250116,197140,디지캡,자본·조직변동,영업양수도,0,(주)디지캡 영업양수 결정,영업양수 결정,(주)디지캡 주권매매거래정지(영업양수도)
20250116,424140,(상장폐지),부실·위험,상장폐지 사유발생,1,케이비제21호기업인수목적 주식회사 상장폐지,상장폐지,케이비제21호기업인수목적 주식회사 주권매매거래정지(상장폐지 사유발생)
20250116,424140,(상장폐지),부실·위험,상장폐지 사유발생,1,케이비제21호기업인수목적 주식회사 관리종목지정사유추가(상장폐지사유 발생),관리종목지정사유추가,케이비제21호기업인수목적 주식회사 주권매매거래정지(상장폐지 사유발생)
20250117,019010,베뉴지,부실·위험,중요한 영업정지,0,베뉴지(주) 영업정지,영업정지,베뉴지(주) 주권매매거래정지(중요한 영업정지)
20250117,067310,하나마이크론,자본·조직변동,분할,0,하나마이크론(주) 회사분할 결정(인적분할),회사분할 결정,하나마이크론(주) 주권매매거래정지(분할)
20250122,044060,(상장폐지),부실·위험,투자자 보호,1,조광아이엘아이(주) (정정)상장폐지,(정정)상장폐지,조광아이엘아이(주) 주권매매거래정지(투자자 보호)
20250122,044060,(상장폐지),부실·위험,투자자 보호,0,조광아이엘아이(주) 기타시장안내(정리매매 보류 관련),기타시장안내,조광아이엘아이(주) 주권매매거래정지(투자자 보호)
20250122,044060,(상장폐지),부실·위험,투자자 보호,1,조광아이엘아이(주) 기타 경영사항(자율공시)(상장폐지결정등효력정지 가처분신청),기타 경영사항,조광아이엘아이(주) 주권매매거래정지(투자자 보호)
20250122,203690,(상장폐지),부실·위험,풍문 또는 보도 관련,0,(주)아크솔루션스 조회공시요구(풍문또는보도)(회계처리기준 위반),조회공시요구,(주)아크솔루션스 주권매매거래정지(풍문 또는 보도 관련)
20250122,290380,(상장폐지),부실·위험,투자자 보호,1,(주)대유 (정정)상장폐지,(정정)상장폐지,(주)대유 주권매매거래정지(투자자 보호)
20250122,290380,(상장폐지),부실·위험,투자자 보호,0,(주)대유 기타시장안내(정리매매 보류 관련),기타시장안내,(주)대유 주권매매거래정지(투자자 보호)
20250122,422040,(상장폐지),부실·위험,상장폐지 사유발생,0,엔에이치기업인수목적23호 주식회사 상장폐지,상장폐지,엔에이치기업인수목적23호 주식회사 주권매매거래정지(상장폐지 사유발생)
20250122,422040,(상장폐지),부실·위험,상장폐지 사유발생,0,엔에이치기업인수목적23호 주식회사 관리종목지정사유추가(상장폐지사유 발생),관리종목지정사유추가,엔에이치기업인수목적23호 주식회사 주권매매거래정지(상장폐지 사유발생)
20250123,060240,스타코링크,자본·조직변동,자본감소,0,(주)스타코링크 (정정)주주총회소집결의(임시주주총회),(정정)주주총회소집결의(임시주주총회),(주)스타코링크 주권매매거래정지(자본감소)
20250123,060240,스타코링크,자본·조직변동,자본감소,0,(주)스타코링크 감자결정,감자결정,(주)스타코링크 주권매매거래정지(자본감소)
20250123,234920,자이글,부실·위험,불성실공시법인 지정,0,자이글(주) 불성실공시법인지정(공시번복 2건),불성실공시법인지정,자이글(주) 주권매매거래정지(불성실공시법인 지정)
20250123,425290,(상장폐지),부실·위험,상장폐지 사유발생,0,삼성기업인수목적6호 주식회사 상장폐지,상장폐지,삼성기업인수목적6호 주식회사 주권매매거래정지(상장폐지 사유발생)
20250123,425290,(상장폐지),부실·위험,상장폐지 사유발생,0,삼성기업인수목적6호 주식회사 관리종목지정사유추가(상장폐지사유 발생),관리종목지정사유추가,삼성기업인수목적6호 주식회사 주권매매거래정지(상장폐지 사유발생)
20250123,430220,(상장폐지),자본·조직변동,SPAC합병(예비심사청구대상,0,신영해피투모로우제8호기업인수목적 주식회사 회사합병 결정(SPAC소멸합병),회사합병 결정,신영해피투모로우제8호기업인수목적 주식회사 주권매매거래정지(SPAC합병(예비심사청구대상)
20250204,196300,HLB펩,부실·위험,관리종목지정우려,0,애니젠(주) 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,애니젠(주) 주권매매거래정지(관리종목지정우려)
20250207,049520,유아이엘,자본·조직변동,무상증자,0,유아이엘(주) 무상증자결정,무상증자결정,유아이엘(주) 주권매매거래정지(무상증자)
20250207,455310,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,0,한화플러스제4호기업인수목적(주) 회사합병 결정(SPAC 소멸합병),플러스제4호기업인수목적 회사합병 결정,한화플러스제4호기업인수목적(주) 주권매매거래정지(SPAC 합병(예비심사청구대상))
20250210,060240,스타코링크,부실·위험,관리종목지정우려,0,(주)스타코링크 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)스타코링크 주권매매거래정지(관리종목지정우려)
20250210,352770,셀레스트라,자본·조직변동,자본감소,0,주식회사 클리노믹스 (정정)주주총회소집결의,(정정)주주총회소집결의,주식회사 클리노믹스 주권매매거래정지(자본감소)
20250210,352770,셀레스트라,자본·조직변동,자본감소,0,주식회사 클리노믹스 감자결정,감자결정,주식회사 클리노믹스 주권매매거래정지(자본감소)
20250211,014200,(상장폐지),부실·위험,투자자 보호,1,(주)광림 (정정)상장폐지,(정정)상장폐지,(주)광림 주권매매거래정지(투자자 보호)
20250211,014200,(상장폐지),부실·위험,투자자 보호,0,(주)광림 기타시장안내(정리매매 보류 관련),기타시장안내,(주)광림 주권매매거래정지(투자자 보호)
20250211,014200,(상장폐지),부실·위험,투자자 보호,1,(주)광림 기타 경영사항(자율공시)(상장폐지결정 효력정지 가처분신청),기타 경영사항,(주)광림 주권매매거래정지(투자자 보호)
20250211,065570,삼영이엔씨,부실·위험,상장적격성 실질심사 대상(사유발생,1,삼영이엔씨(주) 기타시장안내(상장적격성 실질심사 관련 안내),기타시장안내,삼영이엔씨(주) 주권매매거래정지(상장적격성 실질심사 대상(사유발생))
20250211,065570,삼영이엔씨,부실·위험,상장적격성 실질심사 대상(사유발생,0,삼영이엔씨(주) 횡령ㆍ배임혐의발생,횡령ㆍ배임혐의발생,삼영이엔씨(주) 주권매매거래정지(상장적격성 실질심사 대상(사유발생))
20250212,065170,비엘팜텍,자본·조직변동,무상증자,0,(주)비엘팜텍 무상증자결정,무상증자결정,(주)비엘팜텍 주권매매거래정지(무상증자)
20250213,073570,리튬포어스,부실·위험,관리종목지정우려,0,(주)리튬포어스 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)리튬포어스 주권매매거래정지(관리종목지정우려)
20250213,073570,리튬포어스,부실·위험,관리종목지정우려,0,(주)리튬포어스 기타시장안내(관리종목지정우려종목),기타시장안내,(주)리튬포어스 주권매매거래정지(관리종목지정우려)
20250213,180400,DXVX,부실·위험,관리종목지정우려,0,디엑스앤브이엑스(주) 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,디엑스앤브이엑스(주) 주권매매거래정지(관리종목지정우려)
20250214,219550,디와이디,부실·위험,관리종목지정우려,0,(주)디와이디 기타시장안내(관리종목지정우려종목),기타시장안내,(주)디와이디 주권매매거래정지(관리종목지정우려)
20250214,219550,디와이디,부실·위험,관리종목지정우려,0,(주)디와이디 내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,내부결산시점 관리종목 지정ㆍ형식적 상장폐지ㆍ상장적격성 실질심사 사유 발생,(주)디와이디 주권매매거래정지(관리종목지정우려)
20250214,219550,디와이디,부실·위험,관리종목지정우려,0,(주)디와이디 신주인수권증권 매매거래정지(관리종목지정우려),신주인수권증권 매매거래정지,(주)디와이디 주권매매거래정지(관리종목지정우려)
20250217,024810,(상장폐지),부실·위험,투자자보호,0,이화전기공업(주) 기타시장안내(정리매매 보류 관련),기타시장안내,이화전기공업(주) 주권매매거래정지(투자자보호)
20250217,024810,(상장폐지),부실·위험,투자자보호,0,이화전기공업(주) (정정)상장폐지,(정정)상장폐지,이화전기공업(주) 주권매매거래정지(투자자보호)
20250217,024810,(상장폐지),부실·위험,투자자보호,1,이화전기공업(주) 기타 경영사항(자율공시)(상장폐지결정 효력정지 가처분신청),기타 경영사항,이화전기공업(주) 주권매매거래정지(투자자보호)
20250217,096040,(상장폐지),부실·위험,투자자보호,0,이트론(주) (정정)상장폐지,(정정)상장폐지,이트론(주) 주권매매거래정지(투자자보호)
