code,listed,traded_days,amt_sum,amt_avg,no_trade_pct,years,group,mktcap,name,spac,decile,nxt_yr,krx_yr
380550,226,226,9318680007500.0,41233097378.31858,0.0,0.9338842975206612,ST,113815419780.0,뉴로핏,N,D1,948821323574.1936,3721321059100.66
468530,213,213,8781423226500.0,41227339091.54929,0.0,0.8801652892561983,ST,292984772400.0,프로티나,N,D1,931710962600.0,3506772971638.6143
065350,596,596,24385635759500.0,40915496240.77181,0.0,2.462809917355372,ST,810776466000.0,신성델타테크,N,D1,2732705065058.0645,9738158174585.809
161580,596,596,24266497087000.0,40715599139.26174,0.0,2.462809917355372,ST,726709657000.0,필옵틱스,N,D1,6040224684006.452,9690581344973.598
226950,570,570,22797486652000.0,39995590617.54386,0.0,2.355371900826446,ST,2503729905600.0,올릭스,N,D1,4945907737135.484,9103946814825.082
067310,595,595,23688617299000.0,39812802183.19328,0.0,2.458677685950413,ST,2642596933500.0,하나마이크론,N,D1,3258691656000.0,9459810868577.559
083650,595,595,22242648588500.0,37382602669.7479,0.0,2.458677685950413,ST,1496160531250.0,비에이치아이,N,D1,6187852353845.161,8882377819169.967
030530,559,559,20712487037500.0,37052749619.85689,0.0,2.309917355371901,ST,1451301662990.0,원익홀딩스,N,D1,3048143171948.387,8271323206394.39
039030,596,596,21417041833000.0,35934633947.98658,0.0,2.462809917355372,ST,4662949675000.0,이오테크닉스,N,D1,3127286460064.516,8552680071924.093
178320,601,601,21440868439500.0,35675321862.72878,0.0,2.4834710743801653,ST,3013862396950.0,서진시스템,N,D1,1643585799651.613,8562194987391.09
240810,585,585,20527519394000.0,35089776741.88034,0.0,2.4173553719008263,ST,6135487625000.0,원익IPS,N,D1,8843153523741.936,8197458239848.186
476060,358,358,12543041164500.0,35036427833.79888,0.0,1.4793388429752066,ST,531271728000.0,온코닉테라퓨틱스,N,D1,3671408706651.6133,5008937230707.921
319400,541,541,18206918453000.0,33654193073.937157,0.0,2.2355371900826446,ST,2589492906750.0,현대무벡스,N,D1,9976695973483.871,7270749613244.225
035900,606,606,20122140288500.0,33204851961.221123,0.0,2.5041322314049586,ST,1801497344400.0,JYP Ent.,N,D1,4523887653006.452,8035574174615.512
488900,132,132,4275725186500.0,32391857473.484848,0.0,0.5454545454545454,ST,232391072860.0,비츠로넥스텍,N,D1,739291476851.6129,1707467813750.8252
033100,606,606,19161775202000.0,31620091092.40924,0.0,2.5041322314049586,ST,726020886800.0,제룡전기,N,D1,4516028489890.322,7652062044363.037
066790,197,197,6211856414000.0,31532266060.913704,0.0,0.8140495867768595,ST,97271994227.0,씨씨에스,N,D1,0.0,2480642330343.2344
328130,605,605,18965548635000.0,31348014272.727272,0.0,2.5,ST,807126671200.0,루닛,N,D1,2442529090703.226,7573700940049.505
388210,148,148,4587370499500.0,30995746618.243244,0.0,0.6115702479338843,ST,820627230000.0,씨엠티엑스,N,D1,1282161682574.1936,1831920232473.5974
005290,606,606,18063214335000.0,29807284381.18812,0.0,2.5041322314049586,ST,2403241440900.0,동진쎄미켐,N,D1,5514463687806.452,7213362820247.525
417200,601,601,17813045393500.0,29639010638.10316,0.0,2.4834710743801653,ST,857159189530.0,LS머트리얼즈,N,D1,1140218270329.0322,7113460371661.717
100790,585,585,17014219155500.0,29084135308.54701,0.0,2.4173553719008263,ST,884457623700.0,미래에셋벤처투자,N,D1,2992814076503.226,6794457154506.601
098070,312,312,9027008497500.0,28932719543.26923,0.0,1.2892561983471074,ST,269687669250.0,한텍,N,D1,1468441827387.097,3604844977549.5054
475830,325,325,9380931824500.0,28864405613.846157,0.0,1.3429752066115703,ST,1057744033000.0,오름테라퓨틱,N,D1,3450170547077.4194,3746180695592.4097
222800,596,596,17017495904500.0,28552845477.34899,0.0,2.462809917355372,ST,4596824333700.0,심텍,N,D1,8132643677541.936,6795765691235.974
234030,240,240,6844088100500.0,28517033752.08333,0.0,0.9917355371900828,ST,80493050000.0,싸이닉솔루션,N,D1,0.0,2733117690298.68
448900,263,263,7358215441000.0,27978005479.08745,0.0,1.0867768595041325,ST,311012198400.0,한국피아이엠,N,D1,1603787869200.0,2938429268518.152
058610,595,595,16579829969000.0,27865260452.10084,0.0,2.458677685950413,ST,1641124640000.0,에스피지,N,D1,10701238342690.322,6620988205442.244
064260,586,586,16028666859000.0,27352673820.81911,0.0,2.4214876033057853,ST,330570647090.0,다날,N,D1,2416994182012.9033,6400886765475.248
027360,606,606,16439191783000.0,27127379179.86799,0.0,2.5041322314049586,ST,488215986180.0,아주IB투자,N,D1,0.0,6564825761528.053
424870,263,263,7104960440500.0,27015058709.12548,0.0,1.0867768595041325,ST,289333092730.0,이뮨온시아,N,D1,1697732143516.1292,2837294433334.9834
494120,152,152,4008294129000.0,26370356111.842106,0.0,0.628099173553719,ST,195706473300.0,큐리오시스,N,D1,553727531819.3549,1600671912900.9902
050890,606,606,15880103697000.0,26204791579.20792,0.0,2.5041322314049586,ST,648879783120.0,쏠리드,N,D1,818812929000.0,6341559562168.317
078600,606,606,15814087428500.0,26095853842.40924,0.0,2.5041322314049586,ST,1281457660800.0,대주전자재료,N,D1,4809938991070.968,6315196629863.036
440110,553,553,14322962593000.0,25900474851.717903,0.0,2.2851239669421486,ST,3847789593600.0,파두,N,D1,147984085096.7742,5719730936478.548
095340,606,606,15559549016500.0,25675823459.57096,0.0,2.5041322314049586,ST,3204995169600.0,ISC,N,D1,3157068888741.9355,6213549277216.172
041190,606,606,15422286776000.0,25449318112.21122,0.0,2.5041322314049586,ST,396900000000.0,우리기술투자,N,D1,3751483427006.4517,6158734983155.116
067630,295,295,7464491104500.0,25303359676.271187,0.0,1.21900826446281,ST,271875039340.0,HLB생명과학,N,D1,0.0,2980869384965.3467
437730,527,527,13296977123000.0,25231455641.366222,0.0,2.177685950413223,ST,1081228034700.0,삼현,N,D1,3849035662148.387,5310013966610.562
456010,504,504,12643823877000.0,25086952136.90476,0.0,2.0826446280991737,ST,233342811500.0,아이씨티케이,N,D1,291758147716.129,5049183792465.347
253590,599,599,14866920505500.0,24819566787.14524,0.0,2.475206611570248,ST,449658931000.0,네오셈,N,D1,1609560593406.4517,5936955053351.485
459510,280,280,6925868467500.0,24735244526.785717,0.0,1.1570247933884297,ST,174948589360.0,나우로보틱스,N,D1,2560932679729.032,2765775856658.416
006910,606,606,14937134689500.0,24648737111.38614,0.0,2.5041322314049586,ST,346365259200.0,보성파워텍,N,D1,189943203574.19354,5964994380955.446
018290,606,606,14791726608500.0,24408789783.0033,0.0,2.5041322314049586,ST,427338678740.0,브이티,N,D1,1638108974309.6775,5906927127486.799
469610,157,157,3773495754500.0,24035004805.732483,0.0,0.6487603305785123,ST,125021742000.0,이노테크,N,D1,457781123587.0968,1506907545526.4028
160190,382,382,9120664460500.0,23876084975.13089,0.0,1.578512396694215,ST,553512960000.0,하이젠알앤엠,N,D1,3762883890877.4194,3642245543632.013
476040,279,279,6464094905500.0,23168798944.444443,0.0,1.1528925619834711,ST,51698216000.0,오가노이드사이언스,N,D1,557651550890.3226,2581371232889.439
452450,333,333,7696677032000.0,23113144240.24024,0.0,1.3760330578512396,ST,123938040000.0,피아이이,N,D1,277908209025.80646,3073590497927.393
090360,596,596,13693753567000.0,22976096588.92617,0.0,2.462809917355372,ST,699075000000.0,로보스타,N,D1,6238669968974.193,5468462645567.657
237690,606,606,13827851245500.0,22818236378.71287,0.0,2.5041322314049586,ST,2580253576800.0,에스티팜,N,D1,2529002171619.355,5522013203648.515
393970,243,243,5521389907500.0,22721769166.666668,0.0,1.0041322314049588,ST,50428566500.0,대진첨단소재,N,D1,88047791309.67743,2204911481212.8716
323280,565,565,12806633689000.0,22666608299.115044,0.0,2.334710743801653,ST,1187927422000.0,태성,N,D1,5382993779509.678,5114200252042.904
464490,132,132,2958984042000.0,22416545772.727272,0.0,0.5454545454545454,ST,66251792010.0,쿼드메디슨,N,D1,0.0,1181640492019.802
462860,309,309,6824433576500.0,22085545555.016186,0.0,1.2768595041322317,ST,147459654765.0,더즌,N,D1,0.0,2725268853981.848
310210,606,606,13152782994500.0,21704262367.16172,0.0,2.5041322314049586,ST,3061561723800.0,보로노이,N,D1,3385324227858.0645,5252431492853.136
460930,578,578,12520483990000.0,21661737006.92041,0.0,2.3884297520661155,ST,413344210440.0,현대힘스,N,D1,2954988076806.4517,4999929250132.014
464080,489,489,10520244857500.0,21513793164.62168,0.0,2.020661157024793,ST,164753873100.0,에스오에스랩,N,D1,440839211787.0968,4201153886988.449
488280,187,187,3950058574500.0,21123307885.026737,0.0,0.7727272727272727,ST,110627696640.0,에스투더블유,N,D1,1160234325303.2258,1577416130410.891
043260,567,567,11869800923500.0,20934393163.139328,0.0,2.34297520661157,ST,1584970848900.0,성호전자,N,D1,0.0,4740085517305.281
041020,606,606,12664675306000.0,20898804135.31353,0.0,2.5041322314049586,ST,147064027280.0,폴라리스오피스,N,D1,484227569774.19354,5057510600745.875
287840,269,269,5610407273500.0,20856532615.241634,0.0,1.1115702479338845,ST,347007276000.0,인투셀,N,D1,1568765624516.1292,2240459670275.5776
014950,154,154,3205701069000.0,20816240707.79221,0.0,0.6363636363636364,ST,43282818100.0,삼익제약,N,D1,0.0,1280164453297.0298
030520,594,594,12267928843500.0,20653078861.11111,0.0,2.4545454545454546,ST,427497873920.0,한글과컴퓨터,N,D1,1299002107380.6453,4899073894599.01
209640,402,402,8185015014000.0,20360733865.67164,0.0,1.6611570247933884,ST,104528561550.0,와이제이링크,N,D1,164259706883.87097,3268603355425.7427
0015S0,134,134,2713565841000.0,20250491350.74627,0.0,0.5537190082644629,ST,73211136600.0,페스카로,N,D1,0.0,1083635203831.6832
204270,596,596,12006631240500.0,20145354430.36913,0.0,2.462809917355372,ST,1030281179460.0,제이앤티씨,N,D1,1655909930683.871,4794727327064.356
145020,606,606,12138928713500.0,20031235500.82508,0.0,2.5041322314049586,ST,2959119936500.0,휴젤,N,D1,1318102656838.7097,4847558991199.67
295310,456,456,9091187549000.0,19936814800.438595,0.0,1.884297520661157,ST,571007939400.0,에이치브이엠,N,D1,3451185437309.6777,3630474235739.274
053030,606,606,12070452570000.0,19918238564.356438,0.0,2.5041322314049586,ST,233691944200.0,바이넥스,N,D1,847771829335.4839,4820213732574.258
394800,383,383,7582211799500.0,19796897648.825066,0.0,1.5826446280991735,ST,187753062700.0,쓰리빌리언,N,D1,766798032922.5807,3027879959536.3037
025320,606,606,11875718710000.0,19596895561.056107,0.0,2.5041322314049586,ST,391690425250.0,시노펙스,N,D1,880690518683.871,4742448725775.578
463020,233,233,4553152203500.0,19541425766.09442,0.0,0.962809917355372,ST,57182048000.0,뉴엔AI,N,D1,0.0,1818255500407.5908
263750,606,606,11692228762000.0,19294106867.9868,0.0,2.5041322314049586,ST,2328366865500.0,펄어비스,N,D1,7742254903651.613,4669173862052.806
399720,605,605,11565396648000.0,19116358095.867767,0.0,2.5,ST,677181876800.0,가온칩스,N,D1,1835154247903.2258,4618524734019.802
474170,412,412,7851863357000.0,19057920769.41748,0.0,1.7024793388429753,ST,124189341120.0,루미르,N,D1,250949877412.90323,3135562594709.5713
042000,606,606,11323527342500.0,18685688683.9934,0.0,2.5041322314049586,ST,419007668770.0,카페24,N,D1,1025072370548.3871,4521936661526.403
445090,606,606,11134233057500.0,18373321877.062702,0.0,2.5041322314049586,ST,273141450000.0,에이직랜드,N,D1,686918103832.258,4446343894249.175
456070,437,437,7823096019500.0,17901821554.919907,0.0,1.8057851239669425,ST,79633112740.0,이엔셀,N,D1,398925235677.4194,3124074648051.1553
389650,450,450,8047629754500.0,17883621676.666668,0.0,1.859504132231405,ST,313295275100.0,넥스트바이오메디컬,N,D1,1174032924083.871,3213739934965.3467
222080,606,606,10831642624500.0,17873997730.19802,0.0,2.5041322314049586,ST,619129946240.0,SFA넥셀,N,D1,1029096163877.4194,4325507450707.921
