기준,제외종목,잔존종목,포기_NXT거래대금_pct,포기_KRX거래대금_pct,절감_애프터공시_pct,필요담당자,절감인건비_억,제외종목_Amihud중앙
제외 <1억 / 재편입 >1×2억,136,1547,0.0,0.649,5.73,23.0,2.0,1.502
제외 <3억 / 재편입 >3×2억,451,1232,0.072,3.165,22.484,18.0,7.0,0.876
제외 <5억 / 재편입 >5×2억,638,1045,0.318,5.973,33.053,15.0,10.0,0.723
제외 <10억 / 재편입 >10×2억,882,801,1.25,11.646,50.664,12.0,13.0,0.569
