n,cum_amt_pct,cum_after_gongsi_pct
1,2.721912475659241,0.047393364928909956
2,4.752133675579346,0.3691693689199302
3,6.223429665464057,0.4789224245447743
4,7.53927760159253,0.613619356447992
5,8.737827080398693,0.688450985283113
6,9.916066229227326,0.7283611873285109
7,10.140628381452903,0.7508106759790472
8,10.401160004342874,0.7557994512347219
9,11.367058638598298,0.8356198553255176
10,12.021262768297774,0.892990770765777
11,12.366174455491562,0.9304065851833375
12,13.308887535956107,0.9902718882514342
13,14.241983203110134,1.082564230481417
14,14.563932846559366,1.0900473933649288
15,15.444170853825554,1.144923921177351
16,16.349468261963555,1.2297331005238215
17,17.191587402845514,1.2970815664754303
18,18.02766973597775,1.3669244200548765
19,18.20211877840783,1.3793963581940634
20,18.976374725621984,1.5365427787478174
21,19.74196931315947,1.845846844599651
22,20.491243291600295,1.9057121476677474
23,20.65050961019396,1.9256672486904463
24,21.28913230706152,2.0329259166874536
25,21.428529078005415,2.0429034671988027
26,21.99091886150991,2.0628585682215017
27,22.613431032110263,2.1102519331504115
28,22.74517198334855,2.1177350960339236
29,23.006815582897975,2.1227238712895984
30,23.597151980348958,2.195061112496882
31,24.150013012641995,2.2000498877525567
32,24.26601177905133,2.207533050636069
33,24.390049205918128,2.215016213519581
34,24.901662952471206,2.2424544774257917
35,25.40789308463066,2.2599151908206534
36,25.84030942200204,2.4020952856073836
37,26.325110162597976,2.446994262908456
38,26.50909944807695,2.466949363931155
39,26.68248106260088,2.4744325268146667
40,27.163954371667167,2.50935395360439
41,27.643075390579853,2.5517585432776255
42,28.09319206766738,2.6440508855076077
43,28.560903349449784,2.773759042155151
44,29.0000652283494,2.923422299825393
45,29.409015389472536,3.0905462708904965
46,29.83187637630281,3.1179845347967072
47,30.255207798892407,3.2925916687453234
48,30.66050593370529,3.339985033674233
49,30.90815744440555,3.3898727862309803
50,31.26763731862006,3.462210027438264
51,31.66493159323933,3.5594911449239217
52,31.74935209285252,3.5744574706909455
53,32.12768478858702,3.58942379645797
54,32.25033252648444,3.826390621102519
55,32.624790898191804,3.921177350960339
56,32.71536456525098,3.943626839610875
57,33.07200712581486,3.9935145921676227
58,33.42371031677288,4.033424794213021
59,33.75964137384144,4.0833125467697675
60,33.93787185735745,4.105762035420304
61,34.123090251177985,4.153155400349214
62,34.459086004824464,4.29034671988027
63,34.594216611128424,4.302818658019456
64,34.73949821756843,4.310301820902969
65,35.06685263545852,4.315290596158643
66,35.383324813942416,4.449987528061861
67,35.707902452360265,4.492392117735096
68,35.848183757625804,4.519830381641307
69,35.927324062067065,4.534796707408331
70,36.24086298927473,4.619605886754802
71,36.55309848229842,4.726864554751808
72,36.83589300376575,4.789224245447742
73,37.14310285576376,4.8416063856323275
74,37.447602583416625,4.854078323771514
75,37.59498251101107,4.953853828885009
76,37.857519835816944,5.008730356697431
77,38.10716121410002,5.036168620603642
78,38.40069571457413,5.0735844350212025
79,38.53744100356689,5.145921676228486
80,38.832361822439566,5.200798204040908
81,39.12441168438438,5.250685956597655
82,39.19891609778515,5.253180344225493
83,39.37899573737255,5.280618608131704
84,39.50662370635249,5.300573709154403
85,39.658587944478526,5.323023197804939
86,39.92895927735933,5.362933399850337
87,40.20197825304274,5.470192067847343
88,40.310993326327164,5.52007982040409
89,40.56384924368173,5.562484410077325
90,40.622271827051165,5.574956348216513
91,40.757014371760114,5.587428286355699
92,41.01670470808139,5.702170117236219
93,41.26391084686038,5.724619605886755
94,41.47162399215965,5.764529807932153
95,41.54961448589239,5.784484908954852
96,41.78397344970859,5.90920429034672
97,42.03402652144179,5.979047143926166
98,42.14479916570755,5.999002244948866
99,42.20809296361346,6.0039910202045395
100,42.45031261923054,6.033923671738588
